編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPPNMLOLQHPFFBC58EA,1,42.56,見其他登記事項,鋼筋混凝土造,108年2月12日,十四層,七層
RPPNMLOLQHPFFBC58EA,1,8.60,見其他登記事項,鋼筋混凝土造,108年2月12日,十四層,
RPPNMLOLQHPFFBC58EA,1,12.44,見其他登記事項,鋼筋混凝土造,108年2月12日,十四層,
RPOOMLPJQHPFFBC38DA,48,68.40,住家用,加強磚造,61年12月8日,二層,一層 二層
RPOOMLLLQHPFFCC28DA,28,170.88,住家用,鋼筋混凝土造,81年11月3日,十七層,四層
RPOOMLLLQHPFFCC28DA,28,44.32,共用部份,鋼筋混凝土造,81年11月3日,十七層,
RPOOMLLLQHPFFCC28DA,28,30.05,見其他登記事項,鋼筋混凝土造,81年11月3日,十七層,地下三層
RPSNMLNLQHPFFBC68DA,27,105.69,住家用,鋼筋混凝土造,82年12月24日,十二層,十層
RPSNMLNLQHPFFBC68DA,27,9.96,共用部份,鋼筋混凝土造,82年12月24日,十二層,
RPWOMLOLQHPFFBC66DA,46,69.85,住家用,鋼筋混凝土加強磚造,63年10月2日,五層,五層
RPOOMLOLQHPFFCC58DA,13,21.52,住家用,鋼筋混凝土造,96年8月10日,六層,五層
RPOOMLOLQHPFFCC58DA,13,6.22,共用部份,鋼筋混凝土造,96年8月10日,六層,
RPOOMLOLQHPFFCC58DA,13,9.23,共用部份,鋼筋混凝土造,96年8月10日,六層,
RPPOMLOLQHPFFCC68DA,48,74.25,住家用,鋼筋混凝土加強磚造,61年11月15日,四層,二層
RPOPMLMKQHPFFBC38EA,,24.03,住家用,鋼筋混凝土造,85年11月29日,二十三層,四層
RPOPMLMKQHPFFBC38EA,,3.89,共用部份,鋼筋混凝土造,85年11月29日,二十三層,
RPOPMLMKQHPFFBC38EA,,1.34,共用部份,鋼筋混凝土造,85年11月29日,二十三層,
RPOPMLMKQHPFFBC38EA,,1.79,共用部份,鋼筋混凝土造,85年11月29日,二十三層,
RPQOMLOLQHPFFCC78DA,13,21.52,住家用,鋼筋混凝土造,96年8月10日,六層,五層
RPQOMLOLQHPFFCC78DA,13,6.22,共用部份,鋼筋混凝土造,96年8月10日,六層,
RPQOMLOLQHPFFCC78DA,13,9.23,共用部份,鋼筋混凝土造,96年8月10日,六層,
RPVOMLTKQHPFFCC07DA,26,87.22,住家用,鋼筋混凝土造,83年10月15日,五層,五層
RPVOMLTKQHPFFCC07DA,26,2.36,共用部份,鋼筋混凝土造,83年10月15日,五層,
RPVOMLTKQHPFFCC07DA,26,7.86,共用部份,鋼筋混凝土造,83年10月15日,五層,
RPVOMLOLQHPFFCC66DA,35,115.86,住商用,鋼筋混凝土造,74年7月31日,五層,一層 騎樓
RPXNMLLLQHPFFCC09DA,11,94.64,住家用,鋼筋混凝土造,98年6月24日,十四層,八層
RPXNMLLLQHPFFCC09DA,11,45.42,共用部份,鋼筋混凝土造,98年6月24日,十四層,
RPXNMLLLQHPFFCC09DA,11,17.95,共用部份,鋼筋混凝土造,98年6月24日,十四層,
RPOOMLQLQHPFFCC78DA,43,53.73,住家用,鋼筋混凝土加強磚造,66年3月15日,四層,一層
RPVNMLQLQHPFFCC76DA,41,94.77,商業用,鋼筋混凝土造,68年8月22日,四層,一層
RPTOMLOLQHPFFCC09DA,28,117.53,住家用,鋼筋混凝土造,82年1月7日,十四層,九層
RPPOMLLLQHPFFCC38DA,25,3.34,見其他登記事項,鋼筋混凝土造,84年1月17日,四層,一層 二層 三層 四層
RPTOMLOLQHPFFCC09DA,28,14.21,共用部份,鋼筋混凝土造,82年1月7日,十四層,
RPPOMLLLQHPFFCC38DA,22,71.77,住家用,鋼筋混凝土造,87年7月10日,五層,五層
RPTOMLOLQHPFFCC09DA,28,44.00,共用部份,鋼筋混凝土造,82年1月7日,十四層,
RPPOMLLLQHPFFCC38DA,22,26.36,共用部份,鋼筋混凝土造,87年7月10日,五層,
RPUOMLOLQHPFFCC56DA,2,60.20,見其他登記事項,鋼筋混凝土造,107年10月9日,七層,三層
RPUOMLOLQHPFFCC56DA,2,35.85,見其他登記事項,鋼筋混凝土造,107年10月9日,七層,
RPUOMLOLQHPFFCC56DA,2,32.30,見其他登記事項,鋼筋混凝土造,107年10月9日,七層,
RPPNMLPLQHPFFCC78EA,25,38.62,見其他登記事項,鋼筋混凝土造,84年8月1日,十二層,地下一層
RPROMLPLQHPFFBC98EA,26,164.23,見其他登記事項,鋼筋混凝土造,83年5月2日,十層,五層
RPROMLPLQHPFFBC98EA,26,12.25,共用部份,鋼筋混凝土造,83年5月2日,十層,
RPUNMLPLQHPFFCC56DA,8,66.91,見其他登記事項,鋼筋混凝土造,101年6月26日,十三層,十二層
RPUNMLPLQHPFFCC56DA,8,22.85,見其他登記事項,鋼筋混凝土造,101年6月26日,十三層,
RPQNMLPLQHPFFCC88EA,25,38.62,見其他登記事項,鋼筋混凝土造,84年8月1日,十二層,地下一層
RPXOMLOLQHPFFBC76DA,,51.57,住家用,鋼筋混凝土造,84年6月22日,五層,五層
RPXOMLOLQHPFFBC76DA,,3.19,共用部份,鋼筋混凝土造,84年6月22日,五層,
RPOPMLOLQHPFFBC58DA,42,61.85,住家用,鋼筋混凝土造,67年5月8日,六層,三層
RPXNMLQJQHPFFCC76DA,,79.86,住家用,鋼筋混凝土造,84年1月17日,五層,五層
RPXNMLQJQHPFFCC76DA,,12.48,共用部份,鋼筋混凝土造,84年1月17日,五層,
RPXNMLQJQHPFFCC76DA,,2.91,見其他登記事項,鋼筋混凝土造,84年1月17日,四層,一層 二層 三層 四層
RPRPMLKMPHPFFCC58DA,1,84.49,見其他登記事項,鋼筋混凝土造,108年3月28日,五層,三層
RPRPMLKMPHPFFCC58DA,1,23.31,見其他登記事項,鋼筋混凝土造,108年3月28日,五層,
RPUOMLSKQHPFFCC86DA,7,106.44,見其他登記事項,鋼筋混凝土造,102年9月11日,十四層,十三層
RPUOMLSKQHPFFCC86DA,7,49.87,見其他登記事項,鋼筋混凝土造,102年9月11日,十四層,
RPUOMLSKQHPFFCC86DA,7,17.11,見其他登記事項,鋼筋混凝土造,102年9月11日,十四層,
RPTNMLNLQHPFFBC78DA,1,106.27,見其他登記事項,鋼筋混凝土造,108年11月4日,七層,三層
RPTNMLNLQHPFFBC78DA,1,67.30,見其他登記事項,鋼筋混凝土造,108年11月4日,七層,
RPXNMLLLQHPFFBC98DA,42,85.50,住家用,鋼筋混凝土加強磚造,67年11月25日,五層,四層
RPRNMLNLQHPFFBC58DA,44,92.85,住家用,鋼筋混凝土加強磚造,65年9月30日,五層,三層
RPWNMLNKQHPFFCC09DA,24,76.90,住家用,鋼筋混凝土造,85年11月7日,七層,七層
RPWNMLNKQHPFFCC09DA,24,4.26,共用部份,鋼筋混凝土造,85年11月7日,七層,
RPWNMLNKQHPFFCC09DA,24,4.88,共用部份,鋼筋混凝土造,85年11月7日,七層,
RPWNMLNKQHPFFCC09DA,24,.48,共用部份,鋼筋混凝土造,85年11月7日,七層,
RPTOMLTKQHPFFBC76DA,25,85.08,住家用,鋼筋混凝土造,84年6月10日,四層,一層
RPTOMLTKQHPFFBC76DA,25,4.84,共用部份,鋼筋混凝土造,84年6月10日,四層,
RPTOMLTKQHPFFBC76DA,25,1.39,共用部份,鋼筋混凝土造,84年6月10日,五層,
RPROMLOLQHPFFBC78DA,3,71.57,見其他登記事項,鋼筋混凝土造,106年10月18日,十五層,十一層
RPROMLOLQHPFFBC78DA,3,50.21,見其他登記事項,鋼筋混凝土造,106年10月18日,十五層,
RPROMLOLQHPFFBC78DA,3,20.00,見其他登記事項,鋼筋混凝土造,106年10月18日,十五層,
RPROMLOLQHPFFBC78DA,3,.48,見其他登記事項,鋼筋混凝土造,106年10月18日,十五層,
RPOOMLOLQHPFFBC48DA,21,56.40,住家用,鋼筋混凝土造,88年1月22日,七層,三層
RPOOMLOLQHPFFBC48DA,21,10.73,共用部份,鋼筋混凝土造,88年1月22日,七層,
RPOOMLOLQHPFFBC48DA,21,3.99,共用部份,鋼筋混凝土造,88年1月22日,七層,
RPOOMLOLQHPFFBC48DA,21,1.33,共用部份,鋼筋混凝土造,88年1月22日,七層,
