編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPVPMLLLPHPFFAG66CC,26,108.89,住家用,鋼筋混凝土造,83年11月4日,六層,
RPTNMLRLPHPFFBG96CC,23,73.01,商業用,鋼筋混凝土造,86年2月24日,五層,
RPPNMLTLPHPFFBG76CC,14,140.68,見其他登記事項,鋼筋混凝土造,95年6月19日,四層,
RPTOMLKMPHPFFBG09CC,4,12.50,見其他登記事項,鋼筋混凝土造,105年1月30日,五層,
RPUNMLLLPHPFFBG09CC,3,193.07,見其他登記事項,鋼筋混凝土造,106年4月7日,三層,
RPUNMLOLPHPFFAG66CC,37,330.57,商業用,鋼筋混凝土造,72年7月19日,十一層,
RPOQMLLLPHPFFAG68CC,24,103.67,住家用,鋼筋混凝土造,85年5月21日,六層,
RPSNMLKMPHPFFBG88CC,44,94.06,住家用,鋼筋混凝土加強磚造,65年12月15日,二層,
