鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
淡水區,房地(土地+建物)+車位,新北市淡水區中山北路二段211~240號,26.37,住,,,1090727,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060220,171.94,3,2,2,有,有,無,23000,134,,0.0,0,,RPVTMLSLPHPFFEF08CC
淡水區,房地(土地+建物)+車位,新北市淡水區濱海路一段391~420號,15.38,住,,,1090727,土地1建物1車位1,七層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010827,117.64,3,2,2,有,有,無,18000,153,,0.0,0,,RPQQMLTLPHPFFEF37CC
淡水區,房地(土地+建物)+車位,新北市淡水區濱海路一段391~420號,15.38,住,,,1090727,土地1建物1車位1,七層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010827,117.64,3,2,2,有,有,無,18000,153,,0.0,0,,RPRQMLTLPHPFFEF47CC
淡水區,房地(土地+建物),新北市淡水區新民街226巷1~30號,29.53,住,,,1090728,土地1建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0770823,114.54,5,0,5,有,無,有,6500,57,,0.0,0,,RPORMLTLPHPFFEF27CC
淡水區,房地(土地+建物)+車位,新北市淡水區崁頂三路91~120號,19.02,住,,,1090728,土地1建物1車位1,二十層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1071102,162.69,3,2,2,有,有,有,22000,135,,0.0,0,,RPXRMLTLPHPFFEF18CC
淡水區,房地(土地+建物),新北市淡水區原德路31~60號,22.44,住,,,1090725,土地1建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0670331,63.28,3,2,1,有,無,有,11000,174,,0.0,0,,RPVSMLTLPHPFFEF08CC
中和區,建物,新北市中和區景平路541~570號,0.0,住,,,1090713,土地0建物1車位0,三層,15,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1080227,155.26999999999998,3,2,2,有,有,有,35000,225,,0.0,0,租期內含免租裝潢期。,RPVPMLTLPHPFFHF08CC
中和區,建物,新北市中和區景新街467巷20弄31~60號,0.0,住,,,1090724,土地0建物1車位0,一層,4,公寓(5樓含以下無電梯),住家用,加強磚造,0611206,44.55,2,1,1,有,無,有,10000,224,,0.0,0,此為新北市社會住宅包租代管計畫之物件，評定市價租金為11111，因為新北市計畫租金上限為22500，選擇代租方案須打九折，實際租賃契約金額為10000,RPTOPLTLPHPFFHF08CC
中和區,建物,新北市中和區建一路151~180號,0.0,工,,,1090630,土地0建物1車位0,三層,10,廠辦,工業用,鋼筋混凝土造,0881109,211.35000000000002,0,0,0,無,無,有,36500,173,,0.0,0,,RPVQPLTLPHPFFHF48CC
新莊區,建物,新北市新莊區福壽街421~450號,0.0,商,,,1090630,土地0建物1車位0,一層,19,店面(店鋪),見其他登記事項,鋼筋混凝土造,1050520,107.52000000000001,0,0,0,無,有,有,44200,411,,0.0,0,,RPXNMLTLPHPFFBF47CC
