鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,
太平區,土地,福平段31~60地號,52.0,其他,,,1090722,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1300000,25000,,0.0,0,未登記建物;,RPPNMLQLQHPFFJB76DA,0.0,0.0,0.0,無
太平區,房地(土地+建物),鵬儀路181~210號,147.0,其他,,,1090717,土地2建物1車位0,全,二層,透天厝,見其他登記事項,加強磚造,0680621,109.62,3,2,2,有,無,8500000,77541,,0.0,0,,RPSNMLLLQHPFFJB56DA,109.62,0.0,0.0,無
太平區,房地(土地+建物),樹孝路301~330號,14.29,其他,,,1090731,土地1建物1車位0,三層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0811125,103.51,3,2,2,有,有,4200000,40576,,0.0,0,地政士服務費;,RPQNMLTKQHPFFJB07DA,73.56,10.87,0.0,有
太平區,房地(土地+建物),光明路65之14巷1~30號,76.69,,鄉村區,乙種建築用地,1090703,土地1建物1車位0,全,二層,透天厝,見其他登記事項,加強磚造,0720115,122.26,4,2,2,有,無,6500000,53165,,0.0,0,其他增建;,RPOOMLKLQHPFFJB78DA,119.82,2.44,0.0,無
太平區,房地(土地+建物)+車位,永平南路40巷1~30號,13.63,其他,,,1090725,土地1建物1車位1,三層,九層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0880611,115.52,3,2,2,有,有,6000000,51939,坡道平面,0.0,0,陽台外推;,RPPNMLKLQHPFFJB78DA,56.96,16.56,0.0,有
龍井區,房地(土地+建物),臨港東路一段33巷266弄1~30號,95.8,,,,1090810,土地4建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1090407,187.38,4,3,4,有,無,7800000,41627,,0.0,0,,RPUOMLSKQHPFFKB57DA,181.47,5.91,0.0,無
太平區,房地(土地+建物),育英街58巷1~30號,12.89,其他,,,1090805,土地1建物1車位0,四層,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0810715,105.51,3,2,2,有,有,4400000,41702,,0.0,0,,RPOPMLKLQHPFFJB88DA,78.65,17.55,0.0,有
龍井區,房地(土地+建物),臨港東路一段33巷271~300號,90.98,,,,1090810,土地3建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1090407,182.72,4,3,3,有,無,9600000,52539,,0.0,0,,RPUOMLRKQHPFFKB47DA,182.72,0.0,0.0,無
龍井區,房地(土地+建物),臨港東路一段33巷266弄1~30號,109.8,,,,1090810,土地3建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1090407,203.1,4,3,3,有,無,9700000,47760,,0.0,0,,RPWOMLRKQHPFFKB67DA,192.77,10.33,0.0,無
龍井區,房地(土地+建物),臨港東路一段33巷266弄1~30號,106.8,,,,1090810,土地3建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1090407,200.21,4,3,3,有,無,9550000,47700,,0.0,0,,RPOPMLRKQHPFFKB96DA,187.82,12.39,0.0,無
龍井區,房地(土地+建物),臨港東路一段33巷266弄1~30號,95.8,,,,1090810,土地3建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1090407,173.26,4,3,3,有,無,8300000,47905,,0.0,0,,RPPPMLRKQHPFFKB07DA,162.93,10.33,0.0,無
龍井區,房地(土地+建物),臨港東路一段33巷266弄1~30號,95.8,,,,1090810,土地3建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1090407,173.26,4,3,3,有,無,8260000,47674,,0.0,0,,RPQPMLRKQHPFFKB17DA,162.93,10.33,0.0,無
龍井區,房地(土地+建物),臨港東路一段33巷266弄1~30號,92.8,,,,1090810,土地3建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1090407,167.48,4,3,3,有,無,8160000,48722,,0.0,0,,RPSPMLRKQHPFFKB37DA,157.6,9.88,0.0,無
龍井區,房地(土地+建物),臨港東路一段33巷266弄31~60號,92.8,,,,1090810,土地3建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1090407,167.48,4,3,3,有,無,8180000,48842,,0.0,0,,RPUPMLRKQHPFFKB57DA,157.6,9.88,0.0,無
龍井區,房地(土地+建物),臨港東路一段33巷266弄1~30號,117.8,,,,1090810,土地3建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1090407,212.71,4,3,3,有,無,9600000,45132,,0.0,0,,RPVPMLRKQHPFFKB67DA,201.79,10.92,0.0,無
龍井區,房地(土地+建物),臨港東路一段33巷266弄1~30號,110.8,,,,1090810,土地3建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1090407,200.2,4,3,3,有,無,9500000,47453,,0.0,0,,RPWPMLRKQHPFFKB77DA,186.92,13.28,0.0,無
龍井區,房地(土地+建物),臨港東路一段33巷266弄1~30號,110.8,,,,1090810,土地3建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1090407,200.2,4,3,3,有,無,9450000,47203,,0.0,0,,RPXPMLRKQHPFFKB87DA,186.92,13.28,0.0,無
龍井區,房地(土地+建物),臨港東路一段33巷266弄1~30號,98.8,,,,1090810,土地3建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1090407,175.28,4,3,3,有,無,8200000,46782,,0.0,0,,RPPQMLRKQHPFFKB17DA,164.66,10.62,0.0,無
龍井區,房地(土地+建物),臨港東路一段33巷266弄1~30號,98.8,,,,1090810,土地4建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1090407,175.29,4,3,3,有,無,8250000,47065,,0.0,0,,RPQQMLRKQHPFFKB27DA,164.67,10.62,0.0,無
龍井區,房地(土地+建物),臨港東路一段33巷266弄1~30號,110.8,,,,1090810,土地3建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1090407,202.54,4,3,3,有,無,9350000,46164,,0.0,0,,RPUQMLRKQHPFFKB67DA,189.26,13.28,0.0,無
龍井區,房地(土地+建物),臨港東路一段33巷266弄1~30號,106.8,,,,1090810,土地3建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1090407,200.21,4,3,3,有,無,9660000,48249,,0.0,0,,RPPNMLSKQHPFFKB96DA,187.82,12.39,0.0,無
龍井區,土地,龍目井段龍目井小段91~120地號,819.5,其他,,,1090715,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,14138550,17253,,0.0,0,,RPVNMLSKQHPFFKB57DA,0.0,0.0,0.0,無
西區,房地(土地+建物),民生路181~210號,8.93,其他,,,1090727,土地2建物1車位0,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0780515,77.53,2,2,1,有,有,3750000,48368,,0.0,0,,RPWPMLQLQHPFFAB86EA,51.8,4.19,0.0,有
西區,房地(土地+建物),華美街480巷1~30號,29.48,其他,,,1090708,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0710428,152.81,5,0,5,有,有,9200000,60205,,0.0,0,,RPVPMLPLQHPFFAB66EA,121.42,15.84,0.0,有
西區,房地(土地+建物),華美街61~90號,61.0,其他,,,1090719,土地1建物1車位0,全,二層,透天厝,住家用,見其他登記事項,0620404,94.92,4,2,5,有,無,16800000,176991,,0.0,0,其他增建;,RPWPMLPLQHPFFAB76EA,94.92,0.0,0.0,無
北屯區,房地(土地+建物),松竹路二段86巷29弄1~30號,84.0,其他,,,1090819,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0740525,129.83,3,1,2,有,無,3860400,29734,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPXQMLPLQHPFFBB07EA,117.37,12.46,0.0,無
西屯區,房地(土地+建物),內江街1~30號,18.98,其他,,,1090510,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0790111,81.56,3,2,1,有,無,4300000,52722,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPUQMLOLQHPFFCB76EA,57.41,4.82,0.0,無
北屯區,土地,地號541~570地號,91.89,住,,,1080219,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8228000,89542,,0.0,0,,RPQRMLPLQHPFFBB09EA,0.0,0.0,0.0,無
太平區,土地,新光段661~690地號,14.13,其他,,,1090812,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,262253,18560,,0.0,0,包含公共設施保留地用地;,RPQNMLPLQHPFFJB86EA,0.0,0.0,0.0,無
太平區,土地,樹德段931~960地號,19.46,其他,,,1090812,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,361224,18562,,0.0,0,包含公共設施保留地用地;,RPSNMLPLQHPFFJB07EA,0.0,0.0,0.0,無
