鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
新興區,建物,高雄市新興區新興區中山一路91~120號,0.0,商,,,1090721,土地0建物1車位0,九層,10,辦公商業大樓,,鋼筋混凝土造,0651124,75.04,0,0,0,無,有,無,14000,187,,0.0,0,續租。;9樓為整層屋主自行隔間出租.租金含水費,RPQNMLNLPHPFFBE68CC
新興區,建物,高雄市新興區中山一路91~120號,0.0,商,,,1090721,土地0建物1車位0,九層,10,辦公商業大樓,,鋼筋混凝土造,0651124,103.3,0,0,0,無,有,無,13000,126,,0.0,0,續租。;9樓為整層屋主自行隔間出租.租金含水費,RPRNMLNLPHPFFBE78CC
鼓山區,房地(土地+建物)+車位,高雄市鼓山區裕誠路1051~1080號,10.55,商,,,1090720,土地1建物1車位1,四層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950407,115.57,3,2,2,有,有,有,18000,156,坡道機械,0.0,0,含管理費、稅金或水電等費用。;,RPXNMLNLPHPFFAE66CC
前鎮區,房地(土地+建物),高雄市前鎮區廣西路181~210號,12.2,住,,,1090701,土地1建物1車位0,七層,16,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1070620,107.97999999999999,2,1,1,有,有,有,16000,148,,0.0,0,,RPSNMLNLPHPFFCE98CC
楠梓區,房地(土地+建物),高雄市楠梓區加仁路121~150號,159.0,住,,,1090717,土地1建物1車位0,全,4,透天厝,見其它登記事項,見其它登記事項,1080802,258.97,4,3,6,有,無,有,50000,193,,0.0,0,,RPUOMLNLPHPFFEE86CC
三民區,建物,高雄市三民區三民區大順二路121~150號,0.0,商,,,1090721,土地0建物1車位0,十一層,12,辦公商業大樓,,鋼筋混凝土造,0800918,324.6,0,0,0,無,有,無,25000,77,,0.0,0,附4台冷氣,RPSNMLNLPHPFFDE09CC
三民區,建物,高雄市三民區皓東路181~210號,0.0,商,,,1090720,土地0建物0車位0,全,5,透天厝,見其它登記事項,鋼筋混凝土造,0920418,17.15,1,0,0,有,無,有,3800,222,,0.0,0,本案為共隔18間分租套、雅房，本次僅出租此間為17.15平方公尺,RPPPMLNLPHPFFDE98CC
三民區,建物,高雄市三民區華德街1~30號,0.0,商,,,1090704,土地0建物1車位1,七層,12,住宅大樓(11層含以上有電梯),見其它登記事項,鋼筋混凝土造,1050606,105.1,2,1,1,有,有,有,18000,171,升降機械,16.03,0,租金含管理費。,RPOQMLNLPHPFFDE98CC
三民區,建物,高雄市三民區鼎信街31~60號,0.0,住,,,1090704,土地0建物1車位1,九層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0881028,152.45999999999998,4,2,2,有,有,有,18000,118,坡道平面,20.14,0,租金含管理費。,RPPQMLNLPHPFFDE09CC
仁武區,房地(土地+建物),高雄市仁武區八德東路211~240號,27.46,其他,,,1090721,土地1建物1車位0,見其他登記事項,15,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1090305,144.1,0,0,0,無,有,無,22000,153,,0.0,0,,RPTNMLNLPHPFFIE07CC
仁武區,房地(土地+建物),高雄市仁武區八德中路211~240號,174.56,住,,,1090710,土地1建物1車位0,全,4,透天厝,見其他登記事項,見其他登記事項,1061211,87.85,4,2,6,有,無,無,19900,227,,0.0,0,,RPQOMLNLPHPFFIE86CC
