鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,
新興區,房地(土地+建物),民主路1~30號,3.79,其他,,,1090722,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0801126,31.82,1,0,1,有,無,1220000,38341,,0.0,0,,RPTPMLRKQHPFFBE86DA,19.46,0.0,0.0,有
苓雅區,房地(土地+建物),仁愛三街275巷1~30號,91.0,其他,,,1090725,土地2建物1車位0,全,五層,透天厝,見其它登記事項,鋼筋混凝土造,1080520,329.73,5,2,5,有,無,24000000,72787,,0.0,0,,RPQNMLSKQHPFFBE09DA,300.84,28.89,0.0,有
苓雅區,房地(土地+建物),武廟路88巷3弄1~30號,37.45,其他,,,1090727,土地2建物1車位0,一層，電梯樓梯間,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0740731,156.81,5,2,2,有,無,6900000,44002,,0.0,0,,RPWOMLSKQHPFFBE17DA,101.3,45.35,0.0,無
苓雅區,建物,文武三街61~90號,0.0,,,,1090801,土地0建物1車位0,全,五層,透天厝,,鋼筋混凝土造,0790827,94.85,4,2,5,有,無,1000000,10543,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPTPMLSKQHPFFBE96DA,93.4,0.0,1.45,無
苓雅區,土地,苓洲段361~390地號,26.67,其他,,,1090801,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5000000,187477,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPUPMLSKQHPFFBE07DA,0.0,0.0,0.0,無
前鎮區,房地(土地+建物),隆興街1~30號,28.54,其他,,,1090723,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0730330,115.82,3,2,2,有,無,2800000,24175,,0.0,0,,RPSOMLTLPHPFFCE96DA,82.21,0.0,14.0,無
小港區,房地(土地+建物),金府路43巷1~30號,83.0,其他,,,1090713,土地1建物1車位0,全,三層,透天厝,,鋼筋混凝土造,0760824,160.5,7,2,4,有,無,14500000,90343,,0.0,0,其他增建;,RPQOMLNJQHPFFCE68DA,0.0,0.0,0.0,無
前鎮區,房地(土地+建物),國光路121~150號,13.67,其他,,,1090806,土地1建物1車位0,一層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831108,75.15,2,2,2,有,無,2600000,34597,,0.0,0,,RPQOMLQJQHPFFCE98DA,48.61,7.15,0.0,無
小港區,房地(土地+建物),宮平街1~30號,16.93,其他,,,1090724,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0811113,104.96000000000001,3,1,2,有,無,3130000,29821,,0.0,0,,RPQNMLRJQHPFFCE98DA,81.91,8.73,0.0,有
前鎮區,房地(土地+建物)+車位,和平二路211~240號,21.01,其他,,,1090716,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1081018,153.84,3,2,2,有,有,10680000,69423,坡道機械,14.09,0,,RPQOMLLKQHPFFCE58DA,81.66,8.53,0.0,有
前鎮區,房地(土地+建物),林森四路151~180號,16.35,其他,,,1090705,土地1建物1車位0,七層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0941028,81.81,2,2,1,有,有,6220000,76030,,0.0,0,,RPUNMLNKQHPFFCE09DA,46.73,10.8,0.0,有
前鎮區,房地(土地+建物)+車位,武慶一路121~150號,17.96,其他,,,1090720,土地2建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980722,134.55,3,2,2,有,有,7260000,53958,坡道平面,0.0,0,,RPVNMLNKQHPFFCE56DA,71.7,5.64,0.0,有
前鎮區,房地(土地+建物),桂林街82巷31~60號,53.0,其他,,,1090720,土地1建物1車位0,全,三層,透天厝,,鋼筋混凝土造,0640412,98.55,4,2,2,有,無,6500000,65956,,0.0,0,,RPTPMLTKQHPFFCE17DA,98.55,0.0,0.0,無
前鎮區,房地(土地+建物)+車位,鄭和南路331~360號,12.68,其他,,,1090718,土地1建物1車位1,三層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960509,143.73,3,2,2,有,有,8880000,61783,坡道平面,8.67,0,,RPVNMLKLQHPFFCE98DA,79.43,12.23,0.0,有
三民區,房地(土地+建物)+車位,北平一街31~60號,17.68,其他,,,1070920,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,鋼筋混凝土造,1090422,143.14,3,2,2,有,有,9280000,61442,坡道平面,21.4,1800000,預售屋、或土地及建物分次登記案件;,RPVRMLRLPHPFFDE47DA,66.95,11.92,0.0,有
三民區,房地(土地+建物)+車位,北平一街31~60號,17.68,其他,,,1070920,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,鋼筋混凝土造,1090422,143.05,3,2,2,有,有,9270000,61817,坡道平面,21.4,1750000,預售屋、或土地及建物分次登記案件;,RPXRMLRLPHPFFDE67DA,66.95,11.91,0.0,有
三民區,房地(土地+建物)+車位,北平一街31~60號,17.68,其他,,,1070920,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,鋼筋混凝土造,1090422,143.14,3,2,2,有,有,9290000,61935,坡道平面,21.4,1750000,預售屋、或土地及建物分次登記案件;,RPQSMLRLPHPFFDE07DA,66.95,11.92,0.0,有
三民區,房地(土地+建物)+車位,天祥一路1~30號,23.14,其他,,,1090624,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030312,163.76,3,2,2,有,有,9500000,58012,坡道平面,20.71,0,,RPXRMLKKPHPFFDE86DA,81.67,11.8,0.0,有
三民區,房地(土地+建物)+車位,北平一街31~60號,17.9,其他,,,1071017,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,鋼筋混凝土造,1090422,148.64999999999998,3,2,2,有,有,9300000,59332,坡道平面,21.4,1750000,預售屋、或土地及建物分次登記案件;,RPURMLRKPHPFFDE27DA,67.98,14.43,0.0,有
三民區,房地(土地+建物)+車位,莊敬路211~240號,12.53,其他,,,1090723,土地1建物1車位1,二層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020429,114.55000000000001,2,1,1,有,有,6180000,53950,升降平面,21.44,0,,RPSRMLQJQHPFFDE96DA,54.1,7.1,0.0,有
三民區,房地(土地+建物)+車位,北平一街31~60號,21.61,其他,,,1070806,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,鋼筋混凝土造,1090422,180.42000000000002,4,2,2,有,有,11480000,60873,坡道平面,21.4,1800000,預售屋、或土地及建物分次登記案件;,RPTNMLRJQHPFFDE76DA,86.12,17.29,0.0,有
三民區,房地(土地+建物),陽明路13巷1~30號,27.11,其他,,,1090717,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0680220,66.57,3,2,2,有,無,4150000,62340,,0.0,0,壹樓法定空地增建廚房及廁所及前面空地採光罩其他增建;,RPVOMLNKQHPFFDE76DA,66.57,0.0,0.0,無
三民區,房地(土地+建物),天祥一路31~60號,11.84,其他,,,1090729,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0710227,65.1,3,2,2,有,無,1850000,28418,,0.0,0,,RPUNMLSKQHPFFDE07DA,50.64,0.0,0.0,無
三民區,房地(土地+建物),民族一路1~30號,15.36,其他,,,1090713,土地2建物1車位0,十二層,十二層,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0710705,417.26,0,0,0,無,有,12500000,29957,,0.0,0,,RPWNMLSKQHPFFDE27DA,317.62,0.0,7.04,有
三民區,房地(土地+建物),鼎力路267巷5弄31~60號,28.2,其他,,,1090628,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0810825,109.22,4,2,2,有,無,4100000,37539,,0.0,0,陽台外推;,RPOOMLSKQHPFFDE56DA,81.09,3.2,0.0,無
三民區,房地(土地+建物)+車位,大德街61~90號,28.89,其他,,,1090718,土地1建物1車位2,十二層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,鋼筋混凝土造,1050216,216.87,3,1,2,有,有,13650000,62941,坡道平面,53.32,0,,RPTOMLSKQHPFFDE07DA,91.88,17.02,0.0,有
三民區,房地(土地+建物),河北二路61~90號,4.7,其他,,,1090725,土地1建物1車位0,十層,十一層,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0711015,41.339999999999996,1,1,1,有,有,1760000,42574,,0.0,0,,RPUOMLSKQHPFFDE17DA,31.41,0.0,1.64,有
三民區,房地(土地+建物)+車位,南臺路195巷1~30號,1.86,其他,,,1090131,土地1建物1車位1,十八層,二十五層,住宅大樓(11層含以上有電梯),商業用,鋼骨鋼筋混凝土造,0870929,29.11,1,1,1,有,有,1650000,56682,坡道平面,18.75,0,親友、員工、共有人或其他特殊關係間之交易;,RPVOMLSKQHPFFDE27DA,12.31,1.41,0.0,有
三民區,房地(土地+建物),民和街31~60號,21.82,其他,,,1090708,土地2建物1車位0,一層，騎樓,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0760805,51.21,0,0,0,無,無,5000000,97637,,0.0,0,,RPTOMLTKQHPFFDE17DA,51.21,0.0,0.0,無
三民區,房地(土地+建物),建工路203巷3弄1~30號,22.89,其他,,,1090805,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0721125,66.88,4,1,2,有,無,2600000,38876,,0.0,0,賣清 買方負擔全部稅、規費,RPTOMLRKQHPFFDE96DA,61.8,0.0,5.08,無
三民區,房地(土地+建物)+車位,北平一街31~60號,17.9,其他,,,1071126,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,鋼筋混凝土造,1090422,148.57999999999998,3,2,2,有,有,8400000,51895,坡道平面,21.4,1800000,權利人向第三人繼受預售屋買賣契約，轉讓權利之買賣價格為新臺幣1050萬元整。預售屋、或土地及建物分次登記案件;,RPUOMLRKQHPFFDE07DA,67.98,14.52,0.0,有
楠梓區,房地(土地+建物)+車位,海專路211~240號,19.95,其他,,,1090623,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1041103,152.57,3,2,2,有,有,8350000,54729,坡道平面,28.88,0,,RPOQMLKMPHPFFEE78DA,71.58,10.07,0.0,有
