sna, tot, sbi, lat, lng, bemp, act, sno, sarea, mday, ar, sareaen, snaen, aren 
 同德國中, 38, 20, 25.016130, 121.293908, 17, 1, 2030, 桃園區, 20200817231720, 南平路479號對面同德國中旁人行道, Taoyuan Dist., Tongde Junior High School, No.479, Nanping Rd. (opposite) 
 桃園展演中心(同德六街), 50, 22, 25.016551, 121.299970, 26, 1, 2031, 桃園區, 20200817231725, 同德六街藝文二街口東南側廣場, Taoyuan Dist., Taoyuan Arts Center(Tongde 6th St.), Tongde 6th St./Yiwen 2nd St. 
 東溪綠園, 70, 16, 24.993122, 121.313558, 50, 1, 2032, 桃園區, 20200817231743, 成功路二段1號旁小公園, Taoyuan Dist., Dongxi Greens, No.1, Sec. 2, Chenggong Rd. 
 桃園市立圖書館平鎮分館, 56, 33, 24.940031, 121.218322, 22, 1, 2033, 平鎮區, 20200817231725, 環南路三段88號右前方人行道, Pingzhen Dist., Taoyuan Public Library Pingzhen Branch, No.88, Sec. 3, Huannan Rd. 
 新勢公園, 48, 25, 24.950692, 121.216686, 22, 1, 2034, 平鎮區, 20200817231717, 延平路一段181號對面新勢公園旁人行道, Pingzhen Dist., Xinshi Park, No.181, Sec. 1, Yanping Rd.(opposite) 
 三民運動公園, 50, 19, 25.000577, 121.319691, 28, 1, 2035, 桃園區, 20200817231642, 三民路一段200號前方人行道, Taoyuan Dist., Sanmin Sports Park, No.200, Sec. 1, Sanmin Rd. 
 復興廣德街口, 36, 16, 24.954375, 121.205035, 19, 1, 2036, 平鎮區, 20200817231743, 復興街廣德街口西南側人行道, Pingzhen Dist., Fuxing & Guangde St. Intersection, Fuxing St./Guangde St. 
 桃園展演中心(南平路), 42, 9, 25.018038, 121.298235, 32, 1, 2037, 桃園區, 20200817231733, 南平路336號對面人行道, Taoyuan Dist., Taoyuan Arts Center (Nanping Rd.), No.336, Nanping Rd.(opposite) 
 國強公園, 56, 13, 24.993077, 121.289327, 40, 1, 2038, 桃園區, 20200817231723, 國強一街益壽一街口(東北側人行道), Taoyuan Dist., Guochiang Park, Guociang 1st St./Yishou 1st St. 
 新埔公園, 34, 14, 25.015195, 121.303725, 19, 1, 2039, 桃園區, 20200817231720, 同安街203號對面人行道, Taoyuan Dist., Xinpu Park, No.203, Tong’an St.(opposite) 
 信義國小, 30, 11, 24.951017, 121.231454, 19, 1, 2040, 中壢區, 20200817231720, 成都路36號對面人行道, Zhongli Dist., Hsin Yi Elementary School, No.36, Chengdu Rd.(opposite) 
 桃園市立圖書館大林分館, 46, 29, 24.977812, 121.321076, 16, 1, 2041, 桃園區, 20200817231728, 樹仁二街37號後方人行道, Taoyuan Dist., Taoyuan Public Library Dalin Branch, No.37, Shuren 2nd St. 
 桃園火車站(前站), 66, 0, 24.989618, 121.313022, 63, 1, 2042, 桃園區, 20200817231722, 中正路1號面火車站右方人行道, Taoyuan Dist., TRA Taoyuan Station (Front), No.1, Zhongzheng Rd. 
 瑞慶公園, 40, 27, 25.019129, 121.292954, 11, 1, 2043, 桃園區, 20200817231737, 中埔一街362號對面瑞慶公園旁人行道, Taoyuan Dist., Ruiching Park, No.362, Zhongpu 1st St.(opposite) 
 中寧公園, 32, 19, 25.009993, 121.299560, 12, 1, 2044, 桃園區, 20200817231718, 同德二街177號對面中寧公園旁人行道, Taoyuan Dist., Zhongning Park, No.177, Tongde 2nd St.(opposite) 
 陽明運動公園, 42, 33, 24.982285, 121.308126, 9, 1, 2045, 桃園區, 20200817231740, 介壽路199號前方人行道, Taoyuan Dist., Yangming Sports Park, No.199, Jieshou Rd. 
 大業國小, 42, 25, 25.006896, 121.314760, 16, 1, 2046, 桃園區, 20200817231722, 民光東路280號對面人行道, Taoyuan Dist., Da Yie Elementary School, No.280, Minguang E. Rd.(opposite) 
 大有國中, 48, 21, 25.008585, 121.319869, 26, 1, 2047, 桃園區, 20200817231717, 大有路民光東路口西北側人行道, Taoyuan Dist., Da You Junior High School, Dayou Rd./Minguang E. Rd. 
 莊敬廣場, 48, 18, 24.971851, 121.257255, 27, 1, 2048, 中壢區, 20200817231739, 莊敬路38-1號對面自行車停放區, Zhongli Dist., Zhuangjing Square, No.38-1, Zhuangjing Rd.(opposite) 
 吉林路吉利六街口, 42, 22, 24.982900, 121.250406, 20, 1, 2049, 中壢區, 20200817231723, 吉林路吉利六街口東南側人行道, Zhongli Dist., Jilin Rd. & Jili 6th St. Intersection, Jilin Rd./Jili 6th St. 
 龍岡森林公園, 44, 22, 24.933974, 121.235924, 21, 1, 2050, 中壢區, 20200817231727, 龍岡路三段289號對面龍岡森林公園旁人行道, Zhongli Dist., Longgang Park, No.289, Sec. 3, Longgang Rd.(opposite) 
 君臨公園, 42, 30, 24.964524, 121.305469, 11, 1, 2051, 八德區, 20200817231743, 忠勇六街1號對面人行道, Bade Dist., Junlin Park, No.1, Zhongyong 6th St.(opposite) 
 中國科技大樓, 36, 26, 25.055570, 121.361496, 10, 1, 2052, 龜山區, 20200817231735, 復興一路361號前方人行道, Guishan Dist., China Technology Building, No.361, Fuxing 1st Rd. 
 光明國小, 36, 19, 25.041275, 121.290229, 17, 1, 2053, 蘆竹區, 20200817231735, 南昌路忠孝西路口東北側人行道, Luzhu Dist., Guang Ming Elementary School, Nanchang Rd./Zhongxiao W. Rd. 
 桃園龍岡公園, 34, 20, 24.99039, 121.281064, 14, 1, 2054, 桃園區, 20200817231637, 國豐一街101號對面龍岡公園旁人行道, Taoyuan Dist., Taoyuan Longgang Park, No.101, Guofeng 1st St.(opposite) 
 桃園龍鳳公園, 40, 30, 24.989688, 121.278943, 9, 1, 2055, 桃園區, 20200817231744, 國豐五街51號對面龍鳳公園旁人行道, Taoyuan Dist., Taoyuan Longfeng Park, No.51, Guofeng 5rd St.(opposite) 
