sna, tot, sbi, lat, lng, bemp, act, sno, sarea, mday, ar, sareaen, snaen, aren 
 桃園龍山國小, 34, 27, 24.981988, 121.271035, 7, 1, 2127, 桃園區, 20200817231732, 龍祥街94號對面人行道, Taoyuan Dist., Taoyuan Long Shan Elementary School, No.94, Longxiang St.(opposite) 
 桃園假日農業創意市集, 34, 16, 24.974220, 121.302536, 17, 1, 2128, 八德區, 20200817231723, 介壽路547號旁國道二號橋下空間, Bade Dist., Farmers and Artists Market on Weekends, No.547, Jieshou Rd. 
 桃禧航空城酒店, 26, 8, 25.061756, 121.175354, 17, 1, 2129, 大園區, 20200817231715, 大觀路777號(桃禧航空城酒店園航路側人行道), Dayuan Dist., Hotel Orchard Park, No.777, Daguan Rd. 
 老街溪停車場, 36, 5, 25.064974, 121.195804, 29, 1, 2130, 大園區, 20200817231725, 大觀路31巷1號旁老街溪上方停車場, Dayuan Dist., Laojie River Parking Lot, No.1, Ln. 31, Daguan Rd. 
 大中華幼兒園, 34, 4, 25.06179, 121.201825, 28, 1, 2131, 大園區, 20200817231734, 中正三街9號對面空地, Dayuan Dist., Big China Kindergarten, No.9, Zhongzheng 3rd St.(opposite) 
 華興池, 36, 12, 25.059125, 121.194852, 23, 1, 2132, 大園區, 20200817231721, 華興路205號對面路側, Dayuan Dist., Huaxing Pond, No.205, Huaxing Rd.(opposite) 
 東安國中, 34, 26, 24.916497, 121.249757, 8, 1, 2133, 平鎮區, 20200817231743, 平東路168號(面東安國中右側人行道), Pingzhen Dist., Dong An Junior High School, No.168, Pingdong Rd. 
 大湖福德宮, 24, 8, 25.051424, 121.358878, 15, 1, 2134, 龜山區, 20200817231723, 忠義路二段483號前方人行道, Guishan Dist., Dahu Fude Temple, No.483, Sec. 2, Zhongyi Rd. 
 中央警察大學, 34, 12, 25.045564, 121.352319, 22, 1, 2135, 龜山區, 20200817231748, 樹人路56號(面中央警察大學校門左側), Guishan Dist., Central Police University, No.56, Shuren Rd. 
 桃園酒廠, 38, 4, 25.056078, 121.375319, 34, 1, 2136, 龜山區, 20200817231736, 文化一路55號前方人行道, Guishan Dist., Taoyuan Sake Brewery, No.55, Wenhua 1st Rd. 
 五福停車場, 36, 18, 25.055851, 121.294575, 16, 1, 2137, 蘆竹區, 20200817231729, 五福一路120號對面人行道, Luzhu Dist., Wufu Parking Lot, No.120, Wufu 1st Rd.(opposite) 
 大竹國小, 38, 0, 25.024481, 121.259057, 37, 1, 2138, 蘆竹區, 20200817231737, 南竹路五段271號對面人行道, Luzhu Dist., Dazhu Elementary School, No.271, Sec. 5, Nanzhu Rd.(opposite) 
 中興環保公園, 32, 21, 25.016221, 121.260268, 11, 1, 2139, 蘆竹區, 20200817231742, 大興四街61巷及大興四街路口公園內, Luzhu Dist., Zhongxing Eco-Park, Ln. 61, Daxing 4th St./Daxing 4th St. 
 桃園中正公園(同安街), 60, 39, 25.023701, 121.297919, 19, 1, 2140, 桃園區, 20200817231722, 同安街601號旁公園人行道, Taoyuan Dist., Taoyuan Zhongzheng Park (Tung'an St.), No.601, Tong’an St. 
 建新公園, 38, 13, 24.979206, 121.310324, 23, 1, 2141, 桃園區, 20200817231729, 陽明十二街25號對面公園旁人行道, Taoyuan Dist., Jianxin Park, No.25, Yangming 12th St.(opposite) 
 中正一正康一街口, 34, 15, 24.999637, 121.308633, 19, 1, 2142, 桃園區, 20200817231734, 正康一街1號對面機車停車場, Taoyuan Dist., Zhongzheng 1st St. & Zhengkang 1st St. Intersection, No.1, Zhengkang 1st St.(opposite) 
 平鎮和平公園, 32, 23, 24.947529, 121.221136, 8, 1, 2143, 平鎮區, 20200817231721, 莒光路39號對面路側, Pingzhen Dist., Pingzhen Heping Park, No.39, Juguang Rd.(opposite) 
 莊敬里民集會所, 30, 9, 24.904080, 121.214821, 18, 1, 2144, 平鎮區, 20200817231730, 自強街莊福路口東北側人行道, Pingzhen Dist., Zhuangjing Civil Activity Center, Ziqiang St.,/Zhuangfu Rd. 
 中豐坤慶路口, 30, 12, 24.90262, 121.211817, 18, 1, 2145, 平鎮區, 20200817231733, 坤慶路1號前方人行道, Pingzhen Dist., Zhongfeng & Kunqing Rd. Intersection, No.1, Kunqing Rd. 
 廣南停車場, 32, 19, 24.944913, 121.208633, 11, 1, 2146, 平鎮區, 20200817231719, 環南路二段11號旁人行道, Pingzhen Dist., Guangnan Parking Lot, No.11, Sec. 2, Huannan Rd. 
 龍潭大池(龍元路), 38, 26, 24.863851, 121.210032, 10, 1, 2147, 龍潭區, 20200817231727, 龍元路144號對面龍潭大池旁人行道, Longtan Dist., Longtan Pond (Longyuan Rd.), No.144, Longyuan Rd.(opposite) 
 龍潭運動公園(北龍路), 38, 7, 24.868242, 121.218519, 31, 1, 2148, 龍潭區, 20200817231730, 公園路北龍路口東南側公園旁人行道, Longtan Dist., Longtan Sports Park (Beilong Rd.), Gongyuan Rd./Beilong Rd. 
 黎明公園, 30, 15, 24.939894, 121.256127, 15, 1, 2149, 中壢區, 20200817231720, 同慶路榮民南路口西南側公園前方路側, Zhongli Dist., Liming Park, Tongqing Rd./Rongmin S. Rd. 
 興仁公園, 48, 22, 24.966256, 121.263548, 25, 1, 2150, 中壢區, 20200817231721, 興仁路二段120號對面公園內人行道, Zhongli Dist., Xinren Park, No.120, Sec. 2, Xingren Rd.(opposite) 
 自立新村(榮安一街), 32, 14, 24.965432, 121.253381, 18, 1, 2151, 中壢區, 20200817231718, 榮安一街自立三街2巷北側人行道, Zhongli Dist., Zili Community (Rong'an 1st St.), Rong’an 1st St./Ln. 2, Zili 3rd St. 
 晉元路仁德一街口, 30, 4, 24.950926, 121.261293, 26, 1, 2152, 中壢區, 20200817231716, 仁德一街28-4號對面路側, Zhongli Dist., Jinyuan Rd. & Rende 1st St. Intersection, No.28-4, Rende 1st St.(opposite) 
 龍和公園, 32, 18, 24.934221, 121.244805, 14, 1, 2153, 中壢區, 20200817231717, 龍和三街290號(活動中心旁公園人行道), Zhongli Dist., Longhe Park, No.290, Longhe 3rd St. 
 萬壽中興路口, 36, 9, 24.994938, 121.337264, 26, 1, 2154, 龜山區, 20200817231720, 萬壽路二段981號對面停車場, Guishan Dist., Wanshou & Zhongxin Rd. Interstction, No.981, Sec. 2, Wanshou Rd.(opposite) 
 大同西路簡易公園, 40, 14, 24.988164, 121.304047, 25, 1, 2155, 桃園區, 20200817231717, 大同西路7巷4號對面公園, Taoyuan Dist., Datong W. Rd. Simple Park, No.4, Ln. 7, Datong W. Rd.(opposite) 
 霖園兒童公園, 66, 46, 24.986079, 121.287879, 19, 1, 2156, 桃園區, 20200817231738, 國鼎二街132號(對面公園東側人行道), Taoyuan Dist., Linyuan Children's Park, No.132, Guoding 2nd St.(opposite) 
 家樂福經國店, 44, 24, 25.016383, 121.30502, 18, 1, 2157, 桃園區, 20200817231716, 天祥三街10號對面人行道, Taoyuan Dist., Carrefour Jingguo Branch, No.10, Tianxiang 3rd St.(opposite) 
 玉山公園, 34, 13, 24.982621, 121.301174, 21, 1, 2158, 桃園區, 20200817231718, 南豐二街120號斜前方公園側, Taoyuan Dist., Yushan Park, No.120, Nanfeng 2nd St.(opposite) 
 會稽國中, 32, 14, 25.016115, 121.313437, 18, 1, 2159, 桃園區, 20200817231721, 大興路222號(面會稽國中校門左側人行道), Taoyuan Dist., Kuai Ji Junior High School, No.222, Daxing Rd.(opposite) 
 國立體育大學綜合體育館, 42, 16, 25.035994, 121.385040, 26, 1, 2160, 龜山區, 20200817231717, 文化一路250號(國立體大體育館前馬路旁人行道), Guishan Dist., Multipurpose Gymnasium of National Taiwan Sport University, No.250, Wenhua 1st Rd. 
 和盛公園, 34, 16, 24.954289, 121.296402, 18, 1, 2161, 八德區, 20200817231723, 大和路101號對面公園側人行道, Bade Dist., Hesheng Park, No.101, Dahe Rd.(opposite) 
 楊梅火車站(前站), 50, 14, 24.913845, 121.146247, 35, 1, 2162, 楊梅區, 20200817231731, 大成路256號(火車站前方人行道), Yangmei Dist., TRA Yangmei Station (Front), No.256, Dacheng Rd. 
 楊明國中, 38, 18, 24.910546, 121.154995, 19, 1, 2163, 楊梅區, 20200817231720, 新農街337號(面楊明國中左側人行道), Yangmei Dist., Yang-Ming Junior High School, No.337, Xinnong St. 
 楊梅國中, 46, 23, 24.904093, 121.147179, 22, 1, 2164, 楊梅區, 20200817231729, 校前路86號對面人行道, Yangmei Dist., Yang Mei Junior High School, No.86, Xiaoqian Rd.(opposite) 
 經國國中, 32, 7, 25.0217, 121.303596, 24, 1, 2165, 桃園區, 20200817231728, 經國路276號(面經國國中校門左側人行道), Taoyuan Dist., Jingguo Junior High School, No.276, Jingguo Rd.(opposite) 
 獅子林社區活動中心, 34, 22, 24.928339, 121.225294, 12, 1, 2166, 平鎮區, 20200817231733, 大智街88號對面, Pingzhen Dist., Shizilin Community Activity Center, No.88, Dazhi St.(opposite) 
 紫雲宮, 34, 16, 24.944845, 121.222832, 18, 1, 2167, 中壢區, 20200817231727, 自忠二街126號對面停車場, Zhongli Dist., Ziyun Temple, No.126, Zizhong 2nd St.(opposite) 
 民俗文化公園, 38, 22, 24.911914, 121.206352, 16, 1, 2168, 平鎮區, 20200817231729, 上海路及上海路119巷口西南側廣場, Pingzhen Dist., Folk Cultural Park, Shanghai Rd./Ln. 119, Shanghai Rd. 
 風禾公園, 40, 7, 25.000991, 121.289893, 32, 1, 2169, 桃園區, 20200817231720, 文中二路慈文路口東北側人行道, Taoyuan Dist., Fenghe Park, Wenzhong 2nd Rd./Ciwen Rd. 
 財政部北區國稅局桃園分局, 36, 11, 25.003782, 121.320733, 20, 1, 2170, 桃園區, 20200817231720, 三元街150號, Taoyuan Dist., National Taxation Bureau of the Nothern Area, Ministry of Finance (Taoyuan Branch), No.150, Sanyuan St. 
 桃園觀光夜市旅客服務中心, 36, 13, 25.004089, 121.308517, 21, 1, 2171, 桃園區, 20200817231738, 正康三街8號旁停車場, Taoyuan Dist., Taoyuan Tourist Night Market Service Center, No.8, Zhengkang 3rd St. 
 大園國際高中, 60, 16, 25.020834, 121.220506, 41, 1, 2172, 大園區, 20200817231733, 大成路二段37號對面人行道, Dayuan Dist., Dayuan International Senior High School, No.37, Sec. 2, Dacheng Rd.(opposite) 
 同福公園, 32, 18, 24.959257, 121.308382, 14, 1, 2173, 八德區, 20200817231727, 和義街50號對面人行道, Bade Dist., Tongfu Park, No.50, Heyi St.(opposite) 
 大勇國小, 44, 15, 24.968624, 121.303459, 28, 1, 2174, 八德區, 20200817231723, 忠勇街373號對面人行道, Bade Dist., Dayong Elementary School, No.373, Zhongyong St.(opposite) 
 上海南京路口, 38, 16, 24.915815, 121.206128, 22, 1, 2175, 平鎮區, 20200817231742, 上海路227號旁人行道, Pingzhen Dist., Shanghai & Nanjing Rd. Intersection, No.227, Shanghai Rd.(opposite) 
 常樂公園, 40, 24, 24.976881, 121.250856, 16, 1, 2176, 中壢區, 20200817231729, 文化二路237-243號旁公園人行道, Zhongli Dist., Changle Park, No.237-243, Wenhua 2nd Rd. 
 金鋒太子, 30, 5, 24.945911, 121.248625, 25, 1, 2177, 中壢區, 20200817231717, 金鋒四街50巷2號對面, Zhongli Dist., Jinfeng Prince, No.2, Ln. 50, Jinfeng 4th St.(opposite) 
 華愛兒童公園, 32, 17, 24.952303, 121.259724, 14, 1, 2178, 中壢區, 20200817231740, 華愛街35號對面公園旁人行道, Zhongli Dist., Hua-Ai Children's Park, Hua-Ai Children's Park 
 南榮公園, 34, 6, 25.045165, 121.291398, 26, 1, 2179, 蘆竹區, 20200817231740, 南平街洛陽街口南側公園旁人行道, Luzhu Dist., Nanrong Park, Nanping St./Luoyang St. 
 龍潭行政園區, 36, 11, 24.869962, 121.221761, 22, 1, 2180, 龍潭區, 20200817231732, 中興路681號對面人行道, Longtan Dist., Longtan Administrative Park, No.681, Zhongxing Rd.(opposite) 
 過嶺國中, 30, 13, 24.960203, 121.175517, 16, 1, 2181, 中壢區, 20200817231719, 松智路過嶺路一段路口人行道, Zhongli Dist., Guo Ling Junior High School, Songzhi Rd./Sec. 1, Guoling Rd. 
 南方莊園, 22, 6, 24.967284, 121.177906, 15, 1, 2182, 中壢區, 20200817231716, 樹籽路8號對面停車場旁人行道, Zhongli Dist., Nanfang Park, No.8, Shuzi Rd.(opposite) 
 工四工業區(頂湖路), 38, 4, 25.042612, 121.362294, 34, 1, 2183, 龜山區, 20200817231738, 頂湖路33號(面工廠大門左側人行道), Guishan Dist., Gongsi Industrial Park (Dinghu Rd.), No.33, Dinghu Rd. 
 陸光河濱公園, 58, 31, 24.99485, 121.330472, 26, 1, 2184, 龜山區, 20200817231728, 同心二路19號對面公園內人行道, Guishan Dist., Luguang Riverside Park, No.19, Tongxin 2nd Rd.(opposite) 
 山福里集會所, 32, 25, 24.988965, 121.331988, 6, 1, 2185, 龜山區, 20200817231736, 中興路152號旁停車場, Guishan Dist., Shanfu Civil Activity Center, No.152, Zhongxing Rd. 
 大檜溪公園, 32, 22, 25.013781, 121.31682, 10, 1, 2186, 桃園區, 20200817231726, 興一街65巷50號(地下停車場出入口旁公園), Taoyuan Dist., Dakuaixi Park, No.50, Ln. 65, Xing 1st St. 
 大園國中, 38, 16, 25.053976, 121.171991, 22, 1, 2201, 大園區, 20200817231721, 園科路400號前人行道, Dayuan Dist., Dayuan Junior High School, No.400, Yuanhang Rd. 
 清華高中, 32, 8, 24.981699, 121.107716, 24, 1, 2202, 新屋區, 20200817231727, 中華路658號前方人行道, Xinwu Dist., Ching Hua High School, No.658, Zhonghua Rd. 
 觀音高中, 42, 6, 25.014978, 121.133881, 35, 1, 2203, 觀音區, 20200817231722, 文中路46號對面人行道, Guanyin Dist., Taoyuan Municipal Guanyin High School, 46F., Wenzhong Rd.(opposite) 
 溫州公園, 36, 25, 25.008, 121.29825, 11, 1, 2204, 桃園區, 20200817231718, 大興西路二段139巷173號旁公園人行道, Taoyuan Dist., Wenzhou Park, No.173, Ln. 139, Sec. 2, Daxing W. Rd. 
 忠愛公園, 34, 8, 24.93306, 121.22493, 26, 1, 2205, 平鎮區, 20200817231722, 金陵路二段454巷18號旁公園, Pingzhen Dist., Zhong’ai Park, No.18, Ln. 454, Sec. 2, Jinling Rd. 
 南亞技術學院, 32, 16, 24.93756, 121.25171, 15, 1, 2206, 中壢區, 20200817231744, 中山東路三段414號內機車停車場, Zhongli Dist., Nanya Institute of Technology, No.414, Sec. 3, Zhongshan E. Rd. 
 華勛公園, 38, 15, 24.946622, 121.261741, 23, 1, 2207, 中壢區, 20200817231734, 華仁街68巷34號對面公園, Zhongli Dist., Huaxun Park, No.34, Ln. 68, Huaren St.(opposite) 
 中山親水公園, 32, 11, 24.909657, 121.148482, 21, 1, 2208, 楊梅區, 20200817231734, 新農街80號旁公園內, Yangmei Dist., Zhongshan Waterfront Park, No.80, Xinnong St. 
 楓樹公園, 42, 19, 25.00465, 121.34496, 23, 1, 2209, 龜山區, 20200817231716, 楓樹一街19號對面公園, Guishan Dist., Fengshu park, No.19, Fengshu 1st St.(opposite) 
 伯公岡公園, 36, 22, 24.938531, 121.084646, 14, 1, 2210, 楊梅區, 20200817231740, 民生街101號對面公園, Yangmei Dist., Bogonggang Park, No.101, Minsheng St.(opposite) 
 中央造幣廠, 40, 11, 25.013917, 121.36006, 29, 1, 2211, 龜山區, 20200817231732, 振興路577號前方人行道, Guishan Dist., Central Mint , No.577, Jhensing Rd. 
 青塘園, 48, 24, 25.00641, 121.20492, 22, 1, 2212, 中壢區, 20200817231739, 洽溪路133號對面公園人行道, Zhongli Dist., Qingtang Garden, No.133, Qiaxi Rd. (oppsite) 
 龍安公園, 30, 22, 24.99153, 121.27619, 8, 1, 2213, 桃園區, 20200817231716, 國豐七街122號對面公園, Taoyuan Dist., Longan Park, No.122, Guofeng 7th St.(oppsite) 
 埔頂公園, 36, 17, 24.90904, 121.28357, 16, 1, 2214, 大溪區, 20200817231732, 仁善街102號對面停車場內, Daxi Dist., Puding Park, No.102, Renshan St. (opposite) 
 文化花園夜市, 34, 0, 25.064312, 121.365578, 0, 0, 2215, 龜山區, 20200817231730, 龜山一路168號旁公園, Guishan Dist., Wen-Hwa Garden Night Market, No.168, Guishan 1st Rd. 
 平鎮魚形公園, 30, 16, 24.95796, 121.19022, 13, 1, 2216, 平鎮區, 20200817231740, 清泉街49-53號旁公園內, Pingzhen Dist., Pingzhen Yusing Park, No.49-53, Qingquan St. 
 大溪河濱公園, 42, 17, 24.89212, 121.28389, 25, 1, 2217, 大溪區, 20200817231725, 瑞興段2407地號內停車格, Daxi Dist., Daxi Riverside Park, No.2407 of Ruixing Section  
 大明公園, 32, 21, 24.96875, 121.32744, 11, 1, 2218, 八德區, 20200817231742, 興隆街2號對面公園, Bade Dist., Daming Park, No.2, Xinglong St.(oppsite) 
 國軍桃園總醫院, 36, 14, 24.87498, 121.23637, 21, 1, 2219, 龍潭區, 20200817231738, 中興路179號對面人行道, Longtan Dist., Taoyuan Armed Forces General Hospital, No.179, Zhongxing Rd. (opposite) 
 元聖宮, 34, 14, 24.96384, 121.27843, 20, 1, 2220, 八德區, 20200817231715, 東泰街2號旁空地, Bade Dist., Yuansheng Temple, No.2, Dongtai St. 
 大江購物中心, 44, 12, 25.00127, 121.22939, 31, 1, 2221, 中壢區, 20200817231720, 中園路二段501號前方人行道, Zhongli Dist., Metrowalk, No.501, Sec. 2, Zhongyuan Rd. 
 老街溪河川教育中心, 36, 4, 24.953739, 121.21856, 32, 1, 2222, 中壢區, 20200817231735, 中原路58號前方人行道, Zhongli Dist., LaoJier River Education Center, No.58, Gongxue Rd. 
 美光晶圓公司, 40, 7, 25.038673, 121.374561, 32, 1, 2223, 龜山區, 20200817231743, 復興三路667號前方人行道, Guishan Dist., Micron Technology Inc., No.667, Fuxing 3rd Rd. 
 兒九公園, 34, 5, 25.005083, 121.212793, 26, 1, 2224, 大園區, 20200817231728, 致遠街致維街口公園內, Dayuan Dist., Erjiu Park, Zhiyuan St./Jhihwei St. 
 永定二保定三街89巷口, 32, 10, 24.99746, 121.298213, 22, 1, 2225, 桃園區, 20200817231743, 永定二街保定三街89巷口公園內, Taoyuan Dist., Yongding 2nd & Ln. 89, Baoding 3rd St. Intersection, Yongding 2nd St./Ln. 89, Baoding 3rd St. 
 八德霖園公園, 34, 16, 24.97847, 121.300762, 14, 1, 2226, 八德區, 20200817231743, 介壽路一段16巷73號旁公園人行道, Bade Dist., Bade Linyuan Park, No.73, Ln. 16, Sec. 1, Jieshou Rd.(opposite) 
 建德公園, 38, 13, 24.931091, 121.281626, 22, 1, 2227, 八德區, 20200817231726, 長興路61號對面公園, Bade Dist., Jiande Park, No.61, Changxing Rd.(opposite) 
 龍岡圓環, 30, 1, 24.926002, 121.244046, 28, 1, 2228, 中壢區, 20200817231717, 龍東路龍岡路三段路口, Zhongli Dist., Longgang Roundabout, Longdong Rd./Sec. 3, Longgang Rd. 
 成功國小, 34, 27, 24.999511, 121.306346, 7, 1, 2229, 桃園區, 20200817231732, 中正三街與長春路口, Taoyuan Dist., Chenggong Elementary School, Zhongzheng 3rd St./ Changchun Rd. 
 新福大新一街口, 30, 18, 25.02428, 121.25673, 12, 1, 2230, 蘆竹區, 20200817231724, 新福街125-127號對面, Luzhu Dist., Xinfu & Daxin 1st St. Intersection, No.125-No.127, Xinfu St.(opposite) 
 龍安國小, 32, 15, 24.99242, 121.27288, 17, 1, 2231, 蘆竹區, 20200817231718, 文中路一段35號, Luzhu Dist., Long'an Elementary School, No.35, Sec. 1, Wenzhong Rd. 
 綠九公園, 36, 11, 25.061109, 121.29726, 25, 1, 2232, 蘆竹區, 20200817231720, 六福路/六福路247巷路口旁公園, Luzhu Dist., Lujiu Park, Liufu Rd./Ln. 247, Liufu Rd. 
 內厝社區活動中心, 32, 5, 24.989317, 121.179425, 26, 1, 2233, 中壢區, 20200817231738, 中正路四段112號前方路側, Zhongli Dist., Neicuo Activity Center, No.112, Sec. 4, Zhongzheng Rd. 
 龍岡大操場, 36, 1, 24.930164, 121.239605, 34, 1, 2234, 中壢區, 20200817231742, 龍岡路三段游泳路口旁公園人行道, Zhongli Dist., Longgang Playground, Sec. 3, Longgang Rd./Youyong Rd. 
 普忠路770巷口, 32, 10, 24.954231, 121.251253, 22, 1, 2235, 中壢區, 20200817231716, 普忠路605號對面人行道, Zhongli Dist., Ln. 770, Puzhong Rd., No.605, Puzhong Rd.(opposite) 
 青埔國小, 34, 17, 25.00662, 121.21368, 17, 1, 2236, 中壢區, 20200817231726, 新生路四段127號對面人行道, Zhongli Dist., Qingpu Elementary School, No.127, Sec. 4, Sinsheng Rd.(opposite) 
 南崁溪自行車道(長壽路口), 38, 11, 25.001722, 121.347685, 27, 1, 2237, 龜山區, 20200817231731, 半嶺段 44地號, Guishan Dist., Nankan River Bikeway ( Changshou Rd. ), No. 44 of Banling Section 
 山仔頂公園, 36, 11, 24.892175, 121.20433, 25, 1, 2238, 平鎮區, 20200817231740, 自由街57號對面公園, Pingzhen Dist., Shanzaiding Park, No.57, Ziyou St.. (opposite) 
 桃園區南平運動中心, 42, 21, 25.021357, 121.306156, 20, 1, 2239, 桃園區, 20200817231727, 南平路23號對面人行道, Taoyuan Dist., Taoyuan District Naiping Sports Center, No.23, Nanping Rd. 
 溪濱公園, 32, 10, 24.933108, 121.278891, 17, 1, 2240, 八德區, 20200817231732, 廣興二路廣興五街口旁公園, Bade Dist., Xibin Park, Guangxing 5th St., Bade Dist., Taoyuan City  
 豐德公園, 38, 16, 24.926655, 121.28745, 22, 1, 2241, 八德區, 20200817231745, 豐田一路87號對面公園, Bade Dist., Fengde Park, No.87, Fengtian 1st Rd.(opposite) 
 八德仁德公園, 32, 13, 24.935127, 121.287328, 19, 1, 2242, 八德區, 20200817231738, 仁德路218號對面公園, Bade Dist., Bade Rende Park, No.218, Rende Rd.(opposite) 
 中德里市民活動中心, 32, 13, 24.977868, 121.287946, 19, 1, 2243, 桃園區, 20200817231719, 國際路一段與國際路一段678巷口, Taoyuan Dist., Zhongde Civil Activity Center, Sec. 1, Guoji Rd/Ln. 678, Sec. 1, Guoji Rd. 
 茄明里集會所, 36, 14, 24.986389, 121.28182, 22, 1, 2244, 八德區, 20200817231732, 中華路27號外側人行道, Bade Dist., Jiaming Activity Center, No.27, Zhonghua Rd.(opposite) 
 向陽公園, 40, 19, 24.997013, 121.29609, 21, 1, 2245, 桃園區, 20200817231726, 正光路186巷50號對面人行道, Taoyuan Dist., Xiangyang Park, No.50, Ln. 186, Zhengguang Rd.(opposite) 
 國豐公園, 36, 21, 24.987028, 121.279348, 15, 1, 2246, 桃園區, 20200817231739, 龍鳳三街65巷2號對面公園, Taoyuan Dist., Guofeng Park, No.2, Ln. 65, Longfeng 3rd St. 
 公七公園, 34, 22, 25.008599, 121.219904, 12, 1, 2247, 中壢區, 20200817231745, 青商路288-298斜對面公園內, Zhongli Dist., Gongqi Park, No.288, Qingshang Rd. 
 義興公園, 32, 13, 24.949106, 121.209494, 18, 1, 2248, 平鎮區, 20200817231725, 義興街55號對面公園人行道, Pingzhen Dist., Yixing Park, No.55, Yixing St.(opposite) 
 上興公園, 34, 9, 25.018738, 121.261501, 24, 1, 2249, 蘆竹區, 20200817231731, 上興路182號對面路側, Luzhu Dist., Shangxing Park, No.182, Shangxing Rd.(opposite) 
 瑞塘公有停車場, 32, 9, 24.908548, 121.179031, 23, 1, 2250, 楊梅區, 20200817231730, 萬大路187號對面停車場, Yangmei Dist., Rueytarng Parking Lot , No.187, Wanda Rd.(opposite) 
 至善綠園, 32, 8, 24.940354, 121.249948, 21, 1, 2251, 中壢區, 20200817231743,  龍昌路32號對面公園, Zhongli Dist., Zhishan Greens, No.32, Longchang Rd.(opposite) 
 仁和國小, 30, 9, 24.897638, 121.276781, 19, 1, 2252, 大溪區, 20200817231745, 仁和二街50號旁人行道, Daxi Dist., Renhe Elementary School, No.50, Renhe 2nd St.(opposite) 
 中鑄公園, 32, 10, 24.968527, 121.250653, 22, 1, 2253, 中壢區, 20200817231732, 中華路一段619巷31號對面公園, Zhongli Dist., Zhongzhu Park , No.31, Ln. 619, Sec. 1, Zhonghua Rd. 
 青松農場, 30, 1, 24.995065, 121.194071, 28, 1, 2254, 中壢區, 20200817231715, 聖德路一段596之20號前方空地, Zhongli Dist., Qingsong Farm, No.596-20, Sec. 1, Shengde Rd., Zhongli Dist. 
 富岡車站, 32, 14, 24.934444, 121.082367, 18, 1, 2255, 楊梅區, 20200817231741, 成功路58號斜對面廣場, Yangmei Dist., TRA Fu Gung Station, No.58, Chenggong Rd.(opposite) 
 北門國小, 36, 21, 25.007437, 121.306712, 14, 1, 2256, 桃園區, 20200817231736, 大連一街103號對面人行道, Taoyuan Dist., Bei Men Elementary School, No.103, Aly. 825, Dalian 1st St. 
 菓林國小, 26, 13, 25.077668, 121.256217, 13, 1, 2257, 大園區, 20200817231718, 菓林里12鄰41號前方人行道, Dayuan Dist., Guo Lin Elementary School, No 41, Neighborhood 12,Guolin Vil. 
 大魯閣(中正路), 32, 6, 25.030046, 121.293195, 23, 1, 2258, 桃園區, 20200817231735, 中正北路2巷16號對面廣場, Taoyuan Dist., TAROKO SPORTS (Zhongzheng Rd.), No.16, Ln. 2, Jhongjheng N. Rd. 
 同安國小, 38, 24, 25.021257, 121.297788, 14, 1, 2259, 桃園區, 20200817231730, 同德十一街33號對面人行道, Taoyuan Dist., Tong An Elementary School, No.33, Tongde 11th St. 
 文昌國中, 36, 11, 25.010094, 121.308003, 25, 1, 2260, 桃園區, 20200817231721, 民生路729號前方人行道, Taoyuan Dist., Wen Chang Junior High School, No.729, Minsheng Rd. 
 蘆竹區聯合辦公大樓, 32, 9, 25.062955, 121.280302, 21, 1, 2261, 蘆竹區, 20200817231715, 長安路二段與東溪路口, Luzhu Dist., Luzhu District Joint Office Building, Sec. 2, Chang’an Rd./Dongxi Rd. 
 桃園市立圖書館山腳分館, 32, 12, 25.08289, 121.287672, 20, 1, 2262, 蘆竹區, 20200817231719, 山外路117號旁人行道, Luzhu Dist., Taoyuan City Library Shanjiau Branch, No.117, Shanwai Rd. 
 桃園市客家文化館, 30, 13, 24.845599, 121.234624, 16, 1, 2263, 龍潭區, 20200817231727, 中正路三林段500號前方路側, Longtan Dist., Taoyuan Hakka Culture Hall, No.500, Sec. Sanlin, Zhongzheng Rd. 
 百年大鎮社區, 28, 15, 24.877751, 121.21176, 13, 1, 2264, 龍潭區, 20200817231717, 中豐路279號前方人行道, Longtan Dist., Bainian Town, No.279, Zhongfeng Rd. 
 榮興橋, 50, 7, 25.040756, 121.294279, 40, 1, 2265, 蘆竹區, 20200817231727, 南新段 948地號人行道, Luzhu Dist., Rongxing Bridge, No.948, Neixin Section 
 十大觀光小城公園, 40, 11, 24.905108, 121.284806, 29, 1, 2266, 大溪區, 20200817231722, 介壽路965號對面公園, Daxi Dist., Ten Sightseeing Town Park, No.965, Jieshou Rd.(opposite) 
 八德興豐公園, 40, 23, 24.930484, 121.289487, 16, 1, 2267, 八德區, 20200817231723, 興豐路豐田路路口旁公園, Bade Dist., Bade Xingfeng Park, Xingfeng Rd./Fengtian Rd. 
 八德藝文廣場, 30, 15, 24.933575, 121.299289, 11, 1, 2268, 八德區, 20200817231728, 瑞發街興豐路825巷口旁空地, Bade Dist., Bade Arts Square, Aly. 825, Xingfeng Rd., Bade Dist 
 茄明公園, 32, 20, 24.98279, 121.279858, 12, 1, 2269, 八德區, 20200817231717, 明光街56號對面公園人行道, Bade Dist., Jiaming Park, No.56, Mingguang St.(opposite) 
 大忠停車場, 40, 20, 24.958435, 121.300971, 20, 1, 2270, 八德區, 20200817231743, 大忠街140號對面人行道, Bade Dist., Dazhong Parking Lot, No.140, Dazhong St.(opposite) 
