"addr","lat","long"
"桃園市大園區埔心段埔心小段571號","25.06384279","121.19558068"
"桃園市大園區青峰段31號","25.06384279","121.19558068"
"桃園市大園區埔心段三塊厝小段331號","25.06384279","121.19558068"
"桃園市蘆竹區福厚段241號","25.04693352","121.29508445"
"桃園市大園區貨運段151號","25.06384279","121.19558068"
"桃園市蘆竹區坑子口段頭前小段91號","25.04693352","121.29508445"
"桃園市大園區埔心段埔心小段1471號","25.06384279","121.19558068"
"桃園市大園區大牛稠段倒厝子小段1171號","25.06384279","121.19558068"
"桃園市大園區沙崙段沙崙小段781號","25.06384279","121.19558068"
"桃園市大園區竹圍段崁下小段61號","25.06384279","121.19558068"
"桃園市大園區埔心里4鄰廟後61號","25.053154","121.226664"
"桃園市大園區大牛稠段大牛稠小段181號","25.06384279","121.19558068"
"桃園市大園區沙崙段後厝小段1號","25.06384279","121.19558068"
"桃園市大園區圳股頭段圳股頭小段391號","25.06384279","121.19558068"
"桃園市蘆竹區坑子口段頭前小段331號","25.04693352","121.29508445"
"桃園市蘆竹區坑子口段頭前小段541號","25.04693352","121.29508445"
"桃園市大園區埔心段埔心小段1891號","25.06384279","121.19558068"
"桃園市蘆竹區長春路61號","25.051752","121.298761"
"桃園市蘆竹區吉林路121號","25.049337","121.299205"
"桃園市蘆竹區長安段841號","25.04693352","121.29508445"
"桃園市大園區大牛稠段大牛稠小段181號","25.06384279","121.19558068"
"桃園市大園區科三街31號","25.055252","121.169571"
"桃園市大園區埔心段埔心小段1771號","25.06384279","121.19558068"
"桃園市蘆竹區坑子口段頭前小段661號","25.04693352","121.29508445"
"桃園市大園區學六街1號","25.050368","121.166079"
"桃園市大園區竹圍段崁下小段91號","25.06384279","121.19558068"
"桃園市大園區竹圍段崁下小段91號","25.06384279","121.19558068"
"桃園市蘆竹區南福街151號","25.039369","121.29317"
"桃園市蘆竹區南竹段361號","25.04693352","121.29508445"
"桃園市蘆竹區大興十街1號","25.02092942","121.25467663"
"桃園市蘆竹區大興十街1號","25.02092942","121.25467663"
"桃園市蘆竹區大興十街1號","25.02092942","121.25467663"
"桃園市蘆竹區福林街145巷31號","25.015278","121.25134"
"桃園市大園區竹圍段崁腳小段121號","25.06384279","121.19558068"
"桃園市大園區大牛稠段大牛稠小段781號","25.06384279","121.19558068"
"桃園市大園區沙崙段坡堵小段61號","25.06384279","121.19558068"
"桃園市八德區介壽路二段685巷50弄61號","24.937674","121.300172"
"桃園市八德區豐德路301號","24.92476735","121.28794003"
"桃園市八德區豐德路301號","24.92476735","121.28794003"
"桃園市八德區豐德路271號","24.925071","121.289372"
"桃園市八德區豐德路271號","24.925071","121.289372"
"桃園市八德區東勇街400巷61號","24.965516","121.311537"
"桃園市八德區豐德路271號","24.925071","121.289372"
"桃園市八德區豐德路241號","24.925071","121.289372"
"桃園市八德區豐德路241號","24.925071","121.289372"
"桃園市八德區興仁路31號","24.925633","121.283729"
"桃園市八德區陸光街31號","24.961796","121.29905"
"桃園市八德區興豐段2671號","24.92893097","121.28463376"
"桃園市八德區桃德路128巷61號","24.968294","121.296634"
"桃園市平鎮區廣豐街福壽六巷1號","24.938246","121.206107"
"桃園市平鎮區高雙路1號","24.9583","121.192016"
"桃園市平鎮區平安段451號","24.94570169","121.21823451"
"桃園市平鎮區坤慶二街31號","24.94570169","121.21823451"
"桃園市平鎮區中豐路南勢二段460巷31號","24.907703","121.210527"
"桃園市龜山區華亞段361號","24.99267322","121.3377571"
"桃園市龜山區頂興路37巷30弄1號","24.991056","121.330208"
"桃園市龜山區中和路121號","24.995354","121.34023"
"桃園市龜山區文七二街1號","25.052797","121.359678"
"桃園市龜山區長峰路61號","25.002139","121.341047"
"桃園市桃園區中路段1681號","24.99387997","121.30190407"
"桃園市桃園區中路五段481號","24.99387997","121.30190407"
"桃園市桃園區永安路31號","24.995655","121.309746"
"桃園市桃園區中路三段181號","24.99387997","121.30190407"
"桃園市桃園區中華路31號","24.990925","121.311169"
"桃園市桃園區經國路208巷1號","25.017879","121.306641"
"桃園市中壢區青埔四街181號","25.007247","121.221756"
"桃園市中壢區青埔四街181號","25.007247","121.221756"
"桃園市中壢區青埔四街181號","25.007247","121.221756"
"桃園市中壢區興仁路二段648巷31號","24.957475","121.26372"
"桃園市觀音區草漯段481號","25.03653798","121.08201878"
"桃園市中壢區永能路211號","25.00642","121.202461"
"桃園市大溪區武嶺段781號","24.88063316","121.28702893"
"桃園市龍潭區百年一街16巷1弄1號","24.878205","121.211134"
"桃園市楊梅區秀才段361號","24.90767527","121.14575321"
