,鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,address,longitude,latitude,floor
0,The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,addr,lat,long,floor
308,桃園區,房地(土地+建物),興一街91~120號,15.21,其他,,,1090710,土地1建物1車位0,四層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820512,91.71000000000001,2,2,1,有,有,4160000,45360,,0.0,0,,RPTQMLKLQHPFFAH66EA,72.02,0.0,6.37,有,桃園市桃園區興一街91號,25.014813,121.315588,12
309,桃園區,房地(土地+建物),同安街183巷1弄1~30號,25.75,其他,,,1090605,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住商用,鋼筋混凝土造,0700416,53.9,1,1,1,有,無,3260000,60482,,0.0,0,,RPWQMLLLQHPFFAH07EA,42.9,0.0,11.0,無,桃園市桃園區同安街183巷1弄1號,25.014797,121.303548,4
310,桃園區,房地(土地+建物)+車位,朝陽街一段91~120號,10.22,其他,,,1090630,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080131,106.9,2,2,1,有,有,8060000,75398,塔式車位,0.0,0,,RPPOMLLLQHPFFAH78EA,54.1,2.78,3.13,有,桃園市桃園區朝陽街一段91號,24.99456,121.313811,15
311,大溪區,房地(土地+建物),慈康路155巷1~30號,151.48,,風景區,丙種建築用地,1090720,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0800605,368.53,6,2,4,有,有,7450000,20215,,0.0,0,,RPUNMLKLQHPFFCH66EA,339.39,19.57,9.57,無,桃園市大溪區慈康路155巷1號,24.869865,121.28997,4
312,大溪區,土地,東隆段2041~2070地號,4153.69,,特定農業區,農牧用地,1090701,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,21360000,5142,,0.0,0,,RPVNMLTKQHPFFCH57EA,0.0,0.0,0.0,無,桃園市大溪區東隆段2041號,24.88063316,121.28702893,
313,大溪區,土地,瑞安段61~90地號,156.06,,河川區,丁種建築用地,1090807,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2211789,14173,,0.0,0,,RPQOMLTKQHPFFCH17EA,0.0,0.0,0.0,無,桃園市大溪區瑞安段61號,24.88063316,121.28702893,
314,桃園區,房地(土地+建物)+車位,桃二街61~90號,28.5,其他,,,1090524,土地2建物1車位1,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831105,138.25,3,2,2,有,有,7000000,50633,升降機械,0.0,900000,,RPVRMLRKQHPFFAH57EA,90.35,4.34,5.46,有,桃園市桃園區桃二街61號,24.995913,121.31817,5
315,中壢區,土地,興南段公坡小段601~630地號,1.97,其他,,,1090620,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,65000,32995,,0.0,0,包含公共設施保留地用地;,RPQWMLQKPHPFFBH47EA,0.0,0.0,0.0,無,桃園市中壢區興南段公坡小段601號,24.96563047,121.22513412,
316,觀音區,土地,茄苳坑段對面厝小段1171~1200地號,269.25,,特定農業區,農牧用地,1090805,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1425000,5292,,0.0,0,,RPTNMLPLQHPFFBH96EA,0.0,0.0,0.0,無,桃園市觀音區茄苳坑段對面厝小段1171號,25.03653798,121.08201878,
317,觀音區,房地(土地+建物),新生路1531~1560號,88.0,其他,,,1090413,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0970124,236.28,5,1,4,有,無,10900000,46132,,0.0,0,,RPVNMLKLQHPFFBH66EA,203.76,13.41,19.11,無,桃園市觀音區新生路1531號,25.042532,121.14345,4
