鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,
新莊區,房地(土地+建物)+車位,中正路340巷1~30號,19.31,其他,,,1060920,土地1建物1車位1,十層,二十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090618,162.42000000000002,3,2,2,有,有,20200000,128085,坡道平面,24.23,2500000,,RPOUMLRKQHPFFBF96DA,86.53,0.0,4.55,有
新莊區,房地(土地+建物)+車位,中正路340巷1~30號,19.31,其他,,,1090229,土地1建物1車位1,十四層,二十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090618,162.42000000000002,3,2,2,有,有,20820000,135466,坡道平面,24.23,2100000,,RPPUMLRKQHPFFBF07DA,86.53,0.0,4.55,有
新莊區,房地(土地+建物)+車位,中正路340巷1~30號,19.31,其他,,,1090222,土地1建物1車位1,十五層,二十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090618,160.75,3,2,2,有,有,20920000,135475,坡道平面,22.57,2200000,,RPSUMLRKQHPFFBF37DA,86.53,0.0,4.55,有
新莊區,房地(土地+建物)+車位,中正路340巷1~30號,19.31,其他,,,1090409,土地1建物1車位1,十五層,二十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090618,162.42000000000002,3,2,2,有,有,20880000,136623,坡道平面,24.23,2000000,,RPVUMLRKQHPFFBF67DA,86.53,0.0,4.55,有
五股區,房地(土地+建物),明德路61~90號,265.3,其他,,,1090309,土地1建物1車位0,全,一層,透天厝,住家用,加強磚造,0580520,32.86,0,0,0,無,無,38200000,1162508,,0.0,0,未登記建物;,RPWUMLRKQHPFFBF77DA,32.86,0.0,0.0,無
五股區,土地,登林段211~240地號,14.25,其他,,,1090309,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,650000,45614,,0.0,0,包含公共設施保留地用地;,RPQVMLRKQHPFFBF27DA,0.0,0.0,0.0,無
新莊區,房地(土地+建物)+車位,中正路340巷1~30號,12.79,其他,,,1060822,土地1建物1車位1,十一層,二十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090618,110.58,2,2,2,有,有,12760000,125767,坡道平面,24.23,1900000,,RPRVMLRKQHPFFBF37DA,53.81,0.0,3.22,有
新莊區,房地(土地+建物),中正路340巷1~30號,11.0,其他,,,1061210,土地1建物1車位0,十六層,二十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090618,86.35,2,2,2,有,有,11880000,137580,,0.0,0,,RPSVMLRKQHPFFBF47DA,53.81,0.0,3.22,有
新莊區,房地(土地+建物),中正路340巷1~30號,11.0,其他,,,1070305,土地1建物1車位0,十八層,二十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090618,86.35,2,2,2,有,有,12060000,139664,,0.0,0,,RPVVMLRKQHPFFBF77DA,53.81,0.0,3.22,有
新莊區,房地(土地+建物)+車位,中正路340巷1~30號,17.08,其他,,,1090614,土地1建物1車位1,三層,二十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090618,144.92000000000002,3,2,2,有,有,15880000,115834,坡道平面,24.23,1900000,,RPXVMLRKQHPFFBF97DA,75.26,0.0,4.33,有
