編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPVNMLSKQHPFFCD96DA,,21.49,共有部分,鋼筋混凝土造,85年6月29日,十二層,
RPVNMLSKQHPFFCD96DA,,131.06,見其他登記事項,鋼筋混凝土造,85年6月29日,十二層,四層
RPOQMLSKQHPFFCD56DA,,323.61,住家用,見其他登記事項,109年4月29日,四層,一層 二層 三層 四層 屋頂突出物
RPSNMLTKQHPFFCD76DA,39,90.39,住家用,鋼筋混凝土造,70年3月4日,五層,四層 電梯樓梯間
RPSNMLTKQHPFFCD76DA,39,7.93,共有部分,鋼筋混凝土造,70年3月4日,五層,
RPTNMLKLQHPFFCD68DA,39,9.15,共有部分,鋼筋混凝土造,70年6月4日,五層,
RPTNMLKLQHPFFCD68DA,39,85.96,住家用,鋼筋混凝土造,70年6月4日,五層,二層
RPUNMLSKQHPFFDD96DA,30,54.61,住家用,鋼筋混凝土造,79年8月23日,五層,五層
RPUNMLSKQHPFFDD96DA,30,1.91,共有部分,鋼筋混凝土造,79年8月23日,五層,
RPUNMLSKQHPFFDD96DA,30,4.43,共有部分,鋼筋混凝土造,79年8月23日,五層,
RPUNMLSKQHPFFDD96DA,30,8.89,共有部分,鋼筋混凝土造,79年8月23日,五層,
RPXPMLSKQHPFFCD37DA,,327.18,住家用,見其他登記事項,109年4月29日,四層,一層 二層 三層 四層 屋頂突出物
RPUOMLTKQHPFFCD07DA,,.07,見其他登記事項,鋼筋混凝土造,84年1月7日,二十四層,一層
RPUOMLTKQHPFFCD07DA,,96.82,住家用,鋼筋混凝土造,84年1月7日,二十四層,十三層
RPUOMLTKQHPFFCD07DA,,.25,共有部分,鋼筋混凝土造,84年1月7日,二十四層,
RPUOMLTKQHPFFCD07DA,,15.76,共有部分,鋼筋混凝土造,84年1月7日,二十四層,
RPUOMLTKQHPFFCD07DA,,13.53,共有部分,鋼筋混凝土造,84年1月7日,二十四層,
RPUOMLTKQHPFFCD07DA,,2.93,共有部分,鋼筋混凝土造,84年1月7日,二十四層,
RPTOMLTKQHPFFCD96DA,26,100.69,住家用,鋼筋混凝土造,83年4月18日,十二層,十層
RPTOMLTKQHPFFCD96DA,26,70.63,共有部分,鋼筋混凝土造,83年4月18日,十二層,
RPQNMLTKQHPFFFD86DA,5,349.53,見其他登記事項,見其他登記事項,104年5月21日,四層,一層 二層 三層 四層 屋頂突出物
RPUNMLSKQHPFFGD27DA,24,113.93,住商用,鋼筋混凝土造,85年5月1日,二層,一層 二層
RPQOMLSKQHPFFHD07DA,1,89.20,住家用,鋼筋混凝土造,108年5月22日,三層,一層 二層 三層 屋頂突出物 見其他登記事項
RPQOMLSKQHPFFHD07DA,1,89.20,住家用,鋼筋混凝土造,108年5月22日,三層,一層 二層 三層 屋頂突出物 見其他登記事項
RPQQMLTKQHPFFHD37DA,,90.29,見其他登記事項,鋼筋混凝土造,109年3月26日,四層,一層 二層 三層 四層
RPQQMLTKQHPFFHD37DA,,90.29,見其他登記事項,鋼筋混凝土造,109年3月26日,四層,一層 二層 三層 四層
RPROMLLKQHPFFID56DA,43,107.23,住商用,加強磚造,66年2月28日,二層,一層 二層
RPVPMLTKQHPFFHD77DA,,97.52,住家用,加強磚造,69年12月0日,二層,一層 二層
RPRQMLTKQHPFFHD47DA,,178.01,見其他登記事項,鋼筋混凝土造,109年3月26日,四層,一層 二層 三層 四層
RPWOMLSKQHPFFID77DA,1,181.37,見其他登記事項,見其他登記事項,108年8月12日,四層,一層 二層 三層 四層
RPSPMLTKQHPFFID57DA,,206.23,工業用,鋼造,76年6月17日,一層,一層
RPPOMLTKQHPFFID17DA,,82.10,住家用,見其他登記事項,109年3月27日,四層,一層 二層 三層 四層
RPPOMLTKQHPFFID17DA,,82.10,住家用,見其他登記事項,109年3月27日,四層,一層 二層 三層 四層
RPSNMLKLQHPFFID56DA,40,103.89,住家用,加強磚造,69年10月30日,二層,一層 二層
RPVOMLTKQHPFFID77DA,37,47.68,住商用,加強磚造,72年2月17日,二層,一層 二層 騎樓
RPWOMLTKQHPFFID87DA,,93.56,住家用,見其他登記事項,109年3月18日,三層,一層 二層 三層 屋頂突出物
RPWOMLTKQHPFFID87DA,,93.56,住家用,見其他登記事項,109年3月18日,三層,一層 二層 三層 屋頂突出物
RPTNMLLJRHPFFID66DA,26,3.70,見其他登記事項,鋼筋混凝土造,83年6月25日,五層,
RPTNMLLJRHPFFID66DA,26,3.51,共有部分,鋼筋混凝土造,83年6月25日,五層,
RPTNMLLJRHPFFID66DA,26,24.52,住家用,鋼筋混凝土造,83年6月25日,五層,五層
RPUNMLNKQHPFFKD17DA,,37.57,住家用,見其他登記事項,109年5月13日,五層,四層
RPUNMLNKQHPFFKD17DA,,37.57,住家用,見其他登記事項,109年5月13日,五層,四層
RPUNMLNKQHPFFKD17DA,,17.76,見其他登記事項,見其他登記事項,109年5月13日,五層,
RPUNMLNKQHPFFKD17DA,,17.76,見其他登記事項,見其他登記事項,109年5月13日,五層,
RPUOMLLLPHPFFKD07DA,24,62.15,住家用,鋼筋混凝土造,85年7月25日,十二層,三層
RPUOMLLLPHPFFKD07DA,24,13.53,共有部分,鋼筋混凝土造,85年7月25日,十二層,
RPSQMLNKQHPFFKD27DA,,59.22,住家用,見其他登記事項,109年5月13日,五層,五層
RPSQMLNKQHPFFKD27DA,,30.04,見其他登記事項,見其他登記事項,109年5月13日,五層,
RPVNMLSKQHPFFKD77DA,,83.37,住家用,鋼筋混凝土造,86年1月28日,十九層,十七層
RPVNMLSKQHPFFKD77DA,,9.76,共有部分,鋼筋混凝土造,86年1月28日,十九層,
RPVNMLSKQHPFFKD77DA,,16.00,共有部分,鋼筋混凝土造,86年1月28日,十九層,
RPVOMLOKQHPFFKD47DA,,36.47,住家用,鋼筋混凝土造,90年1月10日,十一層,十一層
RPVOMLOKQHPFFKD47DA,,8.33,共有部分,鋼筋混凝土造,90年1月10日,十一層,
RPVOMLOKQHPFFKD47DA,,5.38,共有部分,鋼筋混凝土造,90年1月10日,十一層,
RPVPMLSKQHPFFKD97DA,,100.20,住商用,加強磚造,69年12月0日,二層,一層 二層 騎樓
RPPNMLPKQHPFFKD86DA,21,84.65,住家用,鋼筋混凝土造,88年8月24日,十四層,三層
RPPNMLPKQHPFFKD86DA,21,2.09,共有部分,鋼筋混凝土造,88年8月24日,十四層,
RPPNMLPKQHPFFKD86DA,21,16.94,共有部分,鋼筋混凝土造,88年8月24日,十四層,
RPPNMLPKQHPFFKD86DA,21,16.52,共有部分,鋼筋混凝土造,88年8月24日,十四層,
RPWNMLTKQHPFFKD97DA,9,172.49,見其他登記事項,見其他登記事項,100年6月24日,四層,一層 二層 三層 四層
RPXNMLTKQHPFFKD08DA,26,82.62,住家用,鋼筋混凝土造,83年5月2日,十四層,八層
RPXNMLTKQHPFFKD08DA,26,6.70,共有部分,鋼筋混凝土造,83年5月2日,十四層,
RPXNMLTKQHPFFKD08DA,26,7.31,共有部分,鋼筋混凝土造,83年5月2日,十四層,
RPOQMLSKQHPFFKD37DA,,56.97,住家用,見其他登記事項,105年1月28日,七層,三層
RPOQMLSKQHPFFKD37DA,,64.33,見其他登記事項,見其他登記事項,105年1月28日,七層,
RPXOMLLLQHPFFKD47DA,25,1.15,見其他登記事項,鋼筋混凝土造,85年1月29日,十七層,地下二層
RPXOMLLLQHPFFKD47DA,25,218.13,住商用,鋼筋混凝土造,85年1月29日,十六層,一層 二層 三層 四層
RPXOMLLLQHPFFKD47DA,25,.04,共有部分,鋼筋混凝土造,85年1月29日,十七層,
RPXOMLLLQHPFFKD47DA,25,28.50,共有部分,鋼筋混凝土造,85年1月29日,十七層,
RPXOMLLLQHPFFKD47DA,25,11.04,共有部分,鋼筋混凝土造,85年1月29日,十六層,
RPXOMLLLQHPFFKD47DA,25,14.99,共有部分,鋼筋混凝土造,85年1月29日,十七層,
RPSOMLTKQHPFFAD76EA,16,94.94,見其他登記事項,鋼筋混凝土造,93年3月29日,十層,三層
RPSOMLTKQHPFFAD76EA,16,51.56,共有部分,鋼筋混凝土造,93年3月29日,十一層,
RPQNMLLLQHPFFDD68EA,,72.92,住家用,鋼筋混凝土造,109年5月6日,三層,一層 二層 三層 見其他登記事項
RPQNMLLLQHPFFDD68EA,,72.92,住家用,鋼筋混凝土造,109年5月6日,三層,一層 二層 三層 見其他登記事項
RPQNMLLLQHPFFDD68EA,,72.92,住家用,鋼筋混凝土造,109年5月6日,三層,一層 二層 三層 見其他登記事項
RPUOMLKLQHPFFHD86EA,,89.70,住家用,加強磚造,62年1月0日,二層,一層 二層
RPOOMLKLQHPFFFD68EA,,87.88,住家用,見其他登記事項,109年4月24日,三層,一層 二層 三層
RPOOMLKLQHPFFFD68EA,,87.88,住家用,見其他登記事項,109年4月24日,三層,一層 二層 三層
RPTOMLTKQHPFFID67EA,,70.00,住家用,加強磚造,66年4月21日,二層,一層 二層
RPSPMLKLQHPFFKD07EA,,22.71,住家用,鋼筋混凝土造,87年6月2日,七層,四層
RPSPMLKLQHPFFKD07EA,,2.23,共有部分,鋼筋混凝土造,87年6月2日,七層,
RPSPMLKLQHPFFKD07EA,,6.50,共有部分,鋼筋混凝土造,87年6月2日,七層,
RPOOMLKLQHPFFKD56EA,,6.02,共有部分,鋼筋混凝土造,72年12月28日,五層,
RPOOMLKLQHPFFKD56EA,,35.02,住家用,鋼筋混凝土造,72年12月28日,五層,二層
RPPNMLLLQHPFFKD66EA,30,172.58,住家用,鋼筋混凝土造,79年5月9日,二層,一層 二層 夾層
RPOOMLKLQHPFFCD38EA,42,83.04,住家用,加強磚造,67年11月18日,二層,一層 二層 屋頂突出物
RPSPMLTKQHPFFKD77DA,,82.36,住家用,鋼筋混凝土造,87年11月9日,九層,三層
RPSPMLTKQHPFFKD77DA,,26.10,共有部分,鋼筋混凝土造,87年11月9日,九層,
RPSPMLTKQHPFFKD77DA,,8.42,共有部分,鋼筋混凝土造,87年11月9日,九層,
RPTOMLMJRHPFFKD07DA,,87.36,住家用,見其他登記事項,107年2月2日,十六層,十六層
RPTOMLMJRHPFFKD07DA,,4.16,見其他登記事項,見其他登記事項,107年2月2日,十六層,
RPTOMLMJRHPFFKD07DA,,52.40,見其他登記事項,見其他登記事項,107年2月2日,十六層,
RPTOMLMJRHPFFKD07DA,,21.95,見其他登記事項,見其他登記事項,107年2月2日,十六層,
RPRNMLKLQHPFFCD58EA,,103.28,住家用,鋼筋混凝土造,84年8月12日,十五層,十三層
RPRNMLKLQHPFFCD58EA,,8.71,共有部分,鋼筋混凝土造,84年8月12日,十五層,
RPRNMLKLQHPFFCD58EA,,14.14,共有部分,鋼筋混凝土造,84年8月12日,十五層,
RPRNMLKLQHPFFCD58EA,,35.32,共有部分,鋼筋混凝土造,84年8月12日,十五層,
RPSQMLSKQHPFFKD77DA,26,57.80,住家用,鋼筋混凝土造,83年3月28日,七層,七層
RPSQMLSKQHPFFKD77DA,26,22.63,共有部分,鋼筋混凝土造,83年3月28日,七層,
RPSOMLKLQHPFFKD86DA,25,222.84,住商用,鋼筋混凝土造,84年11月8日,四層,一層 二層 三層 四層
RPOOMLTKQHPFFKD27DA,14,203.73,住家用,鋼筋混凝土造,95年3月1日,三層,一層 二層 三層 屋頂突出物 騎樓
RPUOMLNKQHPFFKD27DA,,59.22,住家用,見其他登記事項,109年5月13日,五層,二層
RPUOMLNKQHPFFKD27DA,,30.04,見其他登記事項,見其他登記事項,109年5月13日,五層,
RPUNMLKKQHPFFKD86DA,,204.57,見其他登記事項,見其他登記事項,108年11月29日,四層,一層 二層 三層 四層
RPXOMLNKQHPFFKD57DA,,37.57,住家用,見其他登記事項,109年5月13日,五層,三層
RPXOMLNKQHPFFKD57DA,,37.57,住家用,見其他登記事項,109年5月13日,五層,三層
RPXOMLNKQHPFFKD57DA,,17.76,見其他登記事項,見其他登記事項,109年5月13日,五層,
RPXOMLNKQHPFFKD57DA,,17.76,見其他登記事項,見其他登記事項,109年5月13日,五層,
RPUNMLOKQHPFFKD27DA,,77.32,住家用,鋼筋混凝土造,83年9月26日,十四層,六層
RPUNMLOKQHPFFKD27DA,,38.22,共有部分,鋼筋混凝土造,83年9月26日,十四層,
RPQQMLPJQHPFFKD17DA,25,.44,見其他登記事項,鋼筋混凝土造,84年5月11日,十四層,一層
RPQQMLPJQHPFFKD17DA,25,47.80,住家用,鋼筋混凝土造,84年5月11日,十四層,六層
RPQQMLPJQHPFFKD17DA,25,13.64,共有部分,鋼筋混凝土造,84年5月11日,十四層,
RPQQMLPJQHPFFKD17DA,25,9.73,共有部分,鋼筋混凝土造,84年5月11日,十四層,
RPQQMLPJQHPFFKD17DA,25,.07,共有部分,鋼筋混凝土造,84年5月11日,十四層,
RPQQMLPJQHPFFKD17DA,25,10.74,共有部分,鋼筋混凝土造,84年5月11日,十四層,
RPROMLSKQHPFFID27DA,30,170.46,住家用,鋼筋混凝土造,79年4月16日,三層,一層 二層 三層
RPPOMLKLQHPFFHD88DA,23,126.61,住家用,鋼筋混凝土造,86年8月25日,八層,七層
RPPOMLKLQHPFFHD88DA,23,16.71,見其他登記事項,鋼筋混凝土造,86年8月25日,八層,
RPPOMLKLQHPFFHD88DA,23,39.24,見其他登記事項,鋼筋混凝土造,86年8月25日,八層,
RPUOMLTKQHPFFID67DA,,31.93,共有部分,鋼筋混凝土造,83年2月25日,七層,
RPUOMLTKQHPFFID67DA,,105.74,住家用,鋼筋混凝土造,83年2月25日,七層,五層
RPQNMLLLQHPFFHD98DA,4,144.56,見其他登記事項,鋼筋混凝土造,105年5月11日,四層,一層 二層 三層 四層
RPROMLTKQHPFFHD27DA,,64.41,見其他登記事項,鋼筋混凝土造,109年6月9日,七層,二層
RPROMLTKQHPFFHD27DA,,45.65,見其他登記事項,鋼筋混凝土造,109年6月9日,七層,
RPSOMLTKQHPFFHD37DA,,33.24,見其他登記事項,鋼筋混凝土造,109年6月9日,七層,三層
RPSOMLTKQHPFFHD37DA,,33.24,見其他登記事項,鋼筋混凝土造,109年6月9日,七層,三層
RPSOMLTKQHPFFHD37DA,,23.30,見其他登記事項,鋼筋混凝土造,109年6月9日,七層,
RPSOMLTKQHPFFHD37DA,,23.30,見其他登記事項,鋼筋混凝土造,109年6月9日,七層,
RPVOMLTKQHPFFHD67DA,,66.47,見其他登記事項,鋼筋混凝土造,109年6月9日,七層,七層
RPVOMLTKQHPFFHD67DA,,46.60,見其他登記事項,鋼筋混凝土造,109年6月9日,七層,
RPWOMLTKQHPFFHD77DA,,66.47,見其他登記事項,鋼筋混凝土造,109年6月9日,七層,七層
RPWOMLTKQHPFFHD77DA,,46.60,見其他登記事項,鋼筋混凝土造,109年6月9日,七層,
RPPPMLTKQHPFFHD17DA,,272.78,見其他登記事項,鋼筋混凝土造,109年6月9日,四層,一層 二層 三層 四層 屋頂突出物
RPPPMLTKQHPFFHD17DA,,29.36,見其他登記事項,鋼筋混凝土造,109年6月9日,七層,
RPUOMLTKQHPFFHD57DA,,64.41,見其他登記事項,鋼筋混凝土造,109年6月9日,七層,六層
RPUOMLTKQHPFFHD57DA,,45.84,見其他登記事項,鋼筋混凝土造,109年6月9日,七層,
RPSPMLTKQHPFFHD47DA,,254.36,見其他登記事項,鋼筋混凝土造,109年6月9日,四層,一層 二層 三層 四層 屋頂突出物
RPSPMLTKQHPFFHD47DA,,7.01,見其他登記事項,鋼筋混凝土造,109年6月9日,七層,
RPOPMLTKQHPFFHD07DA,,287.01,見其他登記事項,鋼筋混凝土造,109年6月9日,四層,一層 二層 三層 四層 屋頂突出物
RPOPMLTKQHPFFHD07DA,,7.01,見其他登記事項,鋼筋混凝土造,109年6月9日,七層,
RPTPMLTKQHPFFHD57DA,,254.86,見其他登記事項,鋼筋混凝土造,109年6月9日,四層,一層 二層 三層 四層 屋頂突出物
RPTPMLTKQHPFFHD57DA,,29.36,見其他登記事項,鋼筋混凝土造,109年6月9日,七層,
RPQPMLTKQHPFFHD27DA,,272.27,見其他登記事項,鋼筋混凝土造,109年6月9日,四層,一層 二層 三層 四層 屋頂突出物
RPQPMLTKQHPFFHD27DA,,7.01,見其他登記事項,鋼筋混凝土造,109年6月9日,七層,
RPRPMLTKQHPFFHD37DA,,272.78,見其他登記事項,鋼筋混凝土造,109年6月9日,四層,一層 二層 三層 四層 屋頂突出物
RPRPMLTKQHPFFHD37DA,,7.01,見其他登記事項,鋼筋混凝土造,109年6月9日,七層,
RPWOMLPKPHPFFHD27DA,,105.74,見其他登記事項,鋼筋混凝土造,109年3月5日,五層,五層
RPWOMLPKPHPFFHD27DA,,44.88,見其他登記事項,鋼筋混凝土造,109年3月5日,五層,
RPPOMLQJQHPFFHD66DA,6,66.80,住家用,鋼筋混凝土造,103年5月20日,十五層,七層
RPPOMLQJQHPFFHD66DA,6,30.07,見其他登記事項,鋼筋混凝土造,103年5月20日,十五層,
RPUNMLRKQHPFFFD07DA,1,160.21,見其他登記事項,見其他登記事項,108年12月12日,三層,一層 二層 三層
RPTNMLLLQHPFFFD09DA,27,236.51,住家用,鋼筋混凝土造,82年3月2日,三層,一層 二層 三層 屋頂突出物
RPSNMLRKQHPFFDD66DA,,188.35,住家用,鋼筋混凝土造,109年4月30日,四層,二層 三層 四層 見其他登記事項
RPRNMLSKQHPFFDD66DA,,99.40,見其他登記事項,鋼筋混凝土造,109年3月31日,十五層,二層
RPRNMLSKQHPFFDD66DA,,70.05,見其他登記事項,鋼筋混凝土造,109年3月31日,十五層,
RPSNMLKLQHPFFDD68DA,5,184.62,住商用,鋼筋混凝土造,104年8月3日,三層,一層 二層 三層 屋頂突出物 見其他登記事項
RPTOMLTKQHPFFDD07DA,46,79.17,住家用,加強磚造,64年1月31日,二層,一層 二層
RPOPMLTKQHPFFCD56DA,21,99.39,住家用,鋼筋混凝土造,88年7月6日,九層,六層
RPOPMLTKQHPFFCD56DA,21,68.55,共有部分,鋼筋混凝土造,88年7月6日,九層,
RPWNMLKLQHPFFCD98DA,27,8.67,共有部分,鋼筋混凝土造,82年5月11日,五層,
RPWNMLKLQHPFFCD98DA,27,115.62,見其他登記事項,鋼筋混凝土造,82年5月11日,五層,一層
RPVNMLLKQHPFFDD98DA,,141.79,見其他登記事項,鋼筋混凝土造,109年3月31日,十五層,十二層
RPVNMLLKQHPFFDD98DA,,113.12,見其他登記事項,鋼筋混凝土造,109年3月31日,十五層,
RPSNMLLKQHPFFDD68DA,,99.40,見其他登記事項,鋼筋混凝土造,109年3月31日,十五層,八層
RPSNMLLKQHPFFDD68DA,,70.05,見其他登記事項,鋼筋混凝土造,109年3月31日,十五層,
RPWNMLTKQHPFFCD17DA,28,181.22,住商用,鋼筋混凝土造,81年7月11日,三層,一層 二層 三層 屋頂突出物 騎樓
RPQPMLSKQHPFFCD66DA,38,14.00,共有部分,鋼筋混凝土造,71年9月15日,五層,
RPQPMLSKQHPFFCD66DA,38,71.84,住家用,鋼筋混凝土造,71年9月15日,五層,五層
RPWNMLLLQHPFFCD09DA,22,266.65,住家用,鋼筋混凝土造,87年3月23日,五層,一層 二層 三層 四層 五層
RPPNMLTKQHPFFCD09DA,25,102.70,住家用,鋼筋混凝土造,84年6月15日,四層,一層 二層 三層 四層 夾層
RPPNMLTKQHPFFCD09DA,25,102.70,住家用,鋼筋混凝土造,84年6月15日,四層,一層 二層 三層 四層 夾層
