鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
豐原區,房地(土地+建物),臺中市豐原區中正路751~780號,50.07,住,,,1090714,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0591101,71.82,5,3,2,有,無,無,33000,459,,0.0,0,,RPVNMLNLPHPFFDB09CC
梧棲區,房地(土地+建物),臺中市梧棲區自強路151~180號,4790.0,工,,,1090706,土地1建物1車位0,見其他登記事項,1,工廠,見其他登記事項,見其他登記事項,1080306,3318.89,0,0,0,無,無,無,400000,,,0.0,0,租金第一個月新台幣40萬元,第二~九個月新台幣60萬元,以上金額未含稅,RPUPMLOLPHPFFFB86CC
清水區,房地(土地+建物),臺中市清水區港新五路211~240號,19.12,商,,,1090706,土地1建物1車位0,十層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060905,146.31,2,2,2,有,有,無,13500,92,,0.0,0,,RPVPMLOLPHPFFFB96CC
烏日區,建物,臺中市烏日區環河路五段241~270號,0.0,住,,,1090706,土地0建物1車位1,七層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1030519,156.24,3,2,2,有,有,有,23000,147,坡道平面,31.39,0,租金含管理費。,RPVOMLOLPHPFFIB17CC
大里區,建物,臺中市大里區甲堤南路61~90號,0.0,住,,,1090707,土地0建物1車位1,見其他登記事項,9,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1040810,144.92000000000002,1,1,1,有,有,有,25000,173,,0.0,0,作店面與住家使用。租金含管理費。,RPOQMLOLPHPFFIB66CC
北區,建物,臺中市北區進化北路271~300號,0.0,,,,1090721,土地0建物2車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0591202,236.54,4,2,2,有,無,有,60000,254,,0.0,0,,RPOTMLOLPHPFFBB88CC
北屯區,建物,臺中市北屯區昌平路三段99巷1~30號,0.0,其他,,,1090707,土地0建物1車位1,全,3,透天厝,見其他登記事項,鋼筋混凝土造,0880616,189.21,4,3,3,有,有,有,25000,132,,0.0,0,含增建或未登記建物。;租金含管理費。,RPUTMLOLPHPFFBB86CC
北屯區,房地(土地+建物),臺中市北屯區遼寧路一段160巷1~30號,10.22,住,,,1090719,土地2建物1車位0,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890218,82.24000000000001,2,1,1,有,有,有,15000,182,,0.0,0,含管理費、稅金或水電等費用。;,RPUUMLOLPHPFFBB96CC
北屯區,房地(土地+建物),臺中市北屯區文心路四段271~300號,10.62,住,,,1090717,土地1建物1車位0,八層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020725,113.39,2,1,2,有,有,有,25000,220,,0.0,0,含管理費,RPUNNLOLPHPFFBB98CC
北區,房地(土地+建物),臺中市北區進化北路301~330號,5.24,商,,,1090712,土地2建物1車位0,十二層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941208,66.39,1,1,1,有,有,有,15000,226,,0.0,0,租金包含房屋管理費,RPWNNLOLPHPFFBB56CC
北區,車位,臺中市北區進化北路301~330號,0.52,商,,,1090709,土地0建物0車位1,,,其他,,,,31.88,0,0,0,有,有,有,3200,,坡道平面,0.0,3200,,RPXNNLOLPHPFFBB66CC
西區,建物,臺中市西區忠明路74巷1弄1~30號,0.0,住,,,1090707,土地0建物1車位0,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0801111,78.7,3,2,1,有,有,有,18500,235,,0.0,0,租期內含免租裝潢期。,RPQOMLOLPHPFFAB48CC
西區,房地(土地+建物),臺中市西區向上路一段451~480號,14.36,住,,,1090708,土地1建物1車位0,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0861205,129.34,2,2,2,有,有,有,14500,112,,0.0,0,,RPQPMLOLPHPFFAB58CC
