鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
屏東巿,建物,屏東縣屏東市安心四橫巷91~120號,0.0,住,,,1090724,土地0建物1車位0,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831215,92.81,2,1,2,有,有,有,8500,92,,0.0,0,,RPUNMLRLPHPFFAT28CC
長治鄉,建物,屏東縣長治鄉香楊路1巷31~60號,0.0,住,,,1090724,土地0建物1車位0,全,1,透天厝,住家用,見其他登記事項,0911230,17.46,1,0,1,有,無,有,3500,200,,0.0,0,,RPVNMLRLPHPFFAT38CC
屏東巿,建物,屏東縣屏東市機場北路571~600號,0.0,住,,,1090729,土地0建物1車位0,七層,14,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0881204,128.18,3,2,2,有,有,有,11000,86,,0.0,0,108年度屏東縣政府包租代管計畫,RPPPMLTLPHPFFAT18CC
屏東巿,建物,屏東縣屏東市徐州路121~150號,0.0,住,,,1090731,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),住商用,鋼筋混凝土造,0790417,78.03,3,2,2,有,無,有,10000,128,,0.0,0,,RPUOMLLMPHPFFAT87CC
