鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
吉安鄉,房地(土地+建物),花蓮縣吉安鄉光復街1~30號,40.0,商,,,1090713,土地2建物1車位0,見其他登記事項,3,店面(店鋪),住商用,鋼筋混凝土造,0680407,104.17,1,2,3,有,無,有,27000,259,,0.0,0,,RPUNMLLLPHPFFAU77CC
花蓮市,房地(土地+建物),花蓮縣花蓮市國盛二街91~120號,7.91,住,,,1090707,土地1建物1車位0,四層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,0811209,27.27,1,1,1,有,無,有,8500,312,,0.0,0,,RPQNMLMLPHPFFAU47CC
花蓮市,房地(土地+建物),花蓮縣花蓮市國民八街61~90號,14.8,住,,,1090706,土地1建物1車位0,三層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0781104,66.81,2,2,1,有,有,有,11000,165,,0.0,0,,RPXNMLMLPHPFFAU28DC
花蓮市,房地(土地+建物),花蓮縣花蓮市林森路211~240號,7.96,商,,,1090713,土地11建物1車位0,五層,10,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0700903,80.25999999999999,2,2,1,有,有,有,12000,150,,0.0,0,,RPQNMLNLPHPFFAU57CC
花蓮市,房地(土地+建物),花蓮縣花蓮市德安六街61~90號,8.7,住,,,1090719,土地1建物1車位0,十五層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840302,112.1,2,1,1,有,有,有,12000,107,,0.0,0,,RPPOMLNLPHPFFAU57CC
花蓮市,房地(土地+建物),花蓮縣花蓮市中美路115巷1~30號,14.35,商,,,1090718,土地2建物2車位0,見其他登記事項,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830611,114.49000000000001,3,2,2,有,有,無,12000,105,,0.0,0,,RPPNMLRLPHPFFAU87CC
新城鄉,建物,花蓮縣新城鄉民族路61~90號,0.0,商,,,1090716,土地0建物0車位0,二層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,1061124,47.07,1,0,1,有,無,有,9800,208,,0.0,0,2樓前房間。,RPRPMLTLPHPFFAU48CC
花蓮市,房地(土地+建物),花蓮縣花蓮市國聯三路31~60號,9.5,住,,,1090727,土地1建物1車位0,九層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820111,79.67999999999999,2,2,1,有,有,有,9500,119,,0.0,0,,RPUOMLLMPHPFFAU97CC
