鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,
永康區,房地(土地+建物),行路125巷1~30號,76.95,,,,1090804,土地2建物1車位0,全,四層,透天厝,見其他登記事項,見其他登記事項,1081129,173.04,5,2,4,有,無,10600000,61258,,0.0,0,,RPOPMLMKQHPFFKD66DA,167.16,0.0,5.88,無
永康區,土地,蜈蜞潭段1201~1230地號,255.0,其他,,,1090508,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1977000,7753,,0.0,0,包含公共設施保留地用地;,RPXPMLMKQHPFFKD57DA,0.0,0.0,0.0,無
永康區,房地(土地+建物)+車位,復國二路241~270號,22.53,其他,,,1090723,土地1建物1車位1,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830513,118.18,3,2,2,有,有,5390000,45608,坡道平面,0.0,0,,RPWOMLLLQHPFFKD37DA,72.69,0.0,7.57,有
永康區,土地,蔦松南段511~540地號,1235.95,其他,,,1090326,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,57950000,46887,,0.0,0,,RPROMLPLQHPFFKD27DA,0.0,0.0,0.0,無
永康區,房地(土地+建物)+車位,中正路256巷1~30號,14.72,其他,,,1090628,土地1建物1車位1,七層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820824,115.76,3,2,2,有,有,4280000,36973,坡道平面,0.0,0,其他增建;,RPORMLPLQHPFFKD27DA,61.2,1.55,8.48,有
永康區,房地(土地+建物),中正路961~990號,38.66,其他,,,1090801,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810409,208.61,3,2,3,有,有,6500000,31159,,0.0,0,,RPSPMLPLQHPFFKD47DA,137.62,0.0,19.59,有
永康區,房地(土地+建物),復華三街61~90號,8.92,其他,,,1090805,土地1建物1車位0,十三層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840908,98.83000000000001,3,2,2,有,有,2800000,28331,,0.0,0,,RPQRMLPLQHPFFKD47DA,67.23,0.0,5.92,有
永康區,房地(土地+建物),崑山里國光二街31~60號,92.0,其他,,,1090805,土地1建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0820417,265.64,6,2,7,有,無,16500000,62114,,0.0,0,,RPTNMLQLQHPFFKD47DA,237.76,9.52,18.36,無
永康區,房地(土地+建物),永康里永大路二段677巷1~30號,7.73,其他,,,1090804,土地1建物1車位0,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830204,100.8,3,2,2,有,有,3700000,36706,,0.0,0,,RPOPMLPLQHPFFKD07DA,64.03,1.42,2.85,有
安南區,房地(土地+建物),公學路五段697巷151~180號,9.05,其他,,,1090716,土地1建物1車位0,九層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870814,62.339999999999996,2,1,1,有,有,1000000,16041,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPQNMLPLQHPFFBD88EA,44.1,0.0,3.7,有
安南區,土地,州南段1591~1620地號,732.62,住,,,1090706,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,50500000,68931,,0.0,0,,RPSNMLRLQHPFFBD66EA,0.0,0.0,0.0,無
北區,房地(土地+建物)+車位,文成一路181~210號,51.34,其他,,,1090729,土地1建物1車位1,七層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1021024,229.43,4,2,2,有,有,16400000,77944,坡道平面,35.7,1300000,,RPOPMLOLQHPFFAD68EA,121.19,0.0,12.09,有
安平區,房地(土地+建物)+車位,育平五街61~90號,11.01,其他,,,1090726,土地1建物1車位2,九層，十層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0871121,151.82999999999998,2,2,3,有,有,6200000,40835,坡道機械,19.22,0,,RPPPMLOLQHPFFAD78EA,92.32,0.0,11.4,有
永康區,土地,市政段211~240地號,199.01,,,,1090710,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,20470000,102859,,0.0,0,,RPUPMLQLQHPFFKD77DA,0.0,0.0,0.0,無
東區,房地(土地+建物),崇德十九街1~30號,10.28,其他,,,1090723,土地1建物1車位0,三層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821122,73.99,2,2,1,有,有,3200000,43249,,0.0,0,,RPSOMLQLQHPFFCD76EA,54.5,0.0,4.72,有
新營區,土地,太子宮段埤子底小段121~150地號,101.0,,特定農業區,水利用地,1090812,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,205000,2030,,0.0,0,,RPPNMLQLQHPFFDD09EA,0.0,0.0,0.0,無
麻豆區,房地(土地+建物),油車121~150號,89.59,其他,,,1090715,土地1建物1車位0,全,四層,透天厝,見其他登記事項,見其他登記事項,1081031,180.06,5,2,3,有,無,8500000,47206,,0.0,0,,RPUNMLQLQHPFFFD17EA,157.53,0.0,22.53,無
官田區,房地(土地+建物),官田里官田181~210號,94.12,其他,,,1090620,土地2建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1040625,149.43,4,2,3,有,無,5500000,36807,,0.0,0,其他增建;,RPPNMLRLQHPFFFD76EA,134.17,0.0,15.26,無
仁德區,土地,二行段721~750地號,68.03,住,,,1090820,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,770000,11319,,0.0,0,,RPUNMLOKPHPFFID07EA,0.0,0.0,0.0,無
永康區,房地(土地+建物)+車位,東橋三路121~150號,11.53,其他,,,1090719,土地1建物1車位1,十二層,二十層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1050512,110.55000000000001,2,2,1,有,有,7280000,70920,坡道平面,22.0,1000000,,RPQPMLQLQHPFFKD47EA,52.34,0.54,5.07,有
永康區,土地,安康段1171~1200地號,94.04,其他,,,1090724,土地8建物0車位0,,,其他,,,,0.0,0,0,0,有,無,588000,6253,,0.0,0,包含公共設施保留地用地;,RPPQMLPLQHPFFKD37EA,0.0,0.0,0.0,無
永康區,土地,保生段1081~1110地號,24.73,其他,,,1090805,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,262300,10607,,0.0,0,包含公共設施保留地用地;,RPUNMLQLQHPFFKD67EA,0.0,0.0,0.0,無
永康區,房地(土地+建物),復華三街61~90號,8.22,其他,,,1090730,土地1建物1車位0,八層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840908,86.3,3,1,1,有,有,3580000,41483,,0.0,0,,RPXOMLQLQHPFFKD08EA,58.03,0.0,4.2,有
將軍區,土地,巷口段一小段91~120地號,1430.0,,特定農業區,農牧用地,1090824,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1000000,699,,0.0,0,,RPQOMLQLQHPFFGD96EA,0.0,0.0,0.0,無
將軍區,土地,巷口段二小段841~870地號,618.75,,特定農業區,農牧用地,1090809,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,500000,808,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPQNMLRLQHPFFGD96EA,0.0,0.0,0.0,無
仁德區,房地(土地+建物)+車位,仁和里和愛街1~30號,52.82,住,,,1090804,土地1建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990422,168.57,3,1,2,有,有,2788013,16539,坡道平面,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPSNMLLLQHPFFID76EA,95.37,0.0,10.28,有
官田區,房地(土地+建物),官田里官田181~210號,101.88,其他,,,1090620,土地2建物1車位0,全,三層,透天厝,住家用,見其他登記事項,1040625,159.8,4,2,3,有,無,5500000,34418,,0.0,0,其他增建;,RPQNMLRLQHPFFFD86EA,141.72,0.0,18.08,無
新營區,土地,建國段211~240地號,161.25,,鄉村區,乙種建築用地,1090819,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3121800,19360,,0.0,0,,RPQNMLSLQHPFFDD76EA,0.0,0.0,0.0,無
柳營區,土地,東昇段751~780地號,46.58,其他,,,1090817,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,600000,12881,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPPNMLRLQHPFFDD56EA,0.0,0.0,0.0,無
鹽水區,房地(土地+建物),北門路31~60號,92.24,,,,1090817,土地1建物1車位0,二層，三層，屋頂突出物，見其他登記事項,三層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,1090110,197.23,4,2,5,有,無,8600000,43604,,0.0,0,,RPQNMLRLQHPFFDD66EA,189.13,0.0,8.1,無
柳營區,土地,外環段661~690地號,181.04,其他,,,1090824,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1095200,6049,,0.0,0,,RPOOMLRLQHPFFDD56EA,0.0,0.0,0.0,無
永康區,房地(土地+建物),龍安街39巷8弄1~30號,84.0,其他,,,1090728,土地1建物1車位0,全,四層,透天厝,住家用,見其他登記事項,1010820,175.89,4,2,3,有,無,11000000,62539,,0.0,0,,RPPOMLRLQHPFFKD27DA,160.15,0.0,15.74,無
永康區,房地(土地+建物),大勇路151~180號,141.0,其他,,,1090422,土地1建物1車位0,全,五層,透天厝,見其他登記事項,見其他登記事項,1031007,394.31,5,2,5,有,無,35000000,88763,,0.0,0,親友、員工、共有人或其他特殊關係間之交易;,RPVOMLRLQHPFFKD87DA,353.58,0.0,40.73,有
安平區,房地(土地+建物),建平一街189巷61~90號,95.3,其他,,,1090727,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,0960205,250.49,4,2,5,有,無,19500000,77847,,0.0,0,其他增建;,RPVRMLQLQHPFFAD17EA,226.97,0.0,23.52,無
安南區,土地,科工段211~240地號,21419.24,工,,,1090810,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,430676659,20107,,0.0,0,政府機關標讓售;,RPUNMLRLQHPFFBD86EA,0.0,0.0,0.0,無
永康區,房地(土地+建物),中華二路340巷1~30號,24.92,其他,,,1090731,土地1建物1車位0,十二層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0811016,151.96,3,2,2,有,有,5500000,36194,,0.0,0,,RPWNMLQLQHPFFKD77DA,111.3,0.57,14.52,有
永康區,房地(土地+建物)+車位,永康街201巷1~30號,27.07,其他,,,1090712,土地2建物1車位1,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820518,160.49,3,2,2,有,無,5500000,34270,坡道平面,0.0,0,,RPTSMLPLQHPFFKD87DA,94.92,0.0,15.94,有
永康區,房地(土地+建物),成功路241~270號,6.73,其他,,,1090819,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0800315,41.07,1,1,1,有,有,1400000,34088,,0.0,0,,RPQNMLQLQHPFFKD17DA,24.3,0.0,5.07,有
永康區,房地(土地+建物),崑大路201巷58弄31~60號,81.0,其他,,,1090803,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0701103,106.33,4,2,3,有,無,7000000,65833,,0.0,0,其他增建;,RPSNMLQLQHPFFKD37DA,93.64,6.49,6.2,無
永康區,土地,永康段1381~1410地號,4456.0,其他,,,1090802,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,318160800,71401,,0.0,0,包含公共設施保留地用地;,RPUPMLPLQHPFFKD67DA,0.0,0.0,0.0,無
永康區,土地,永康段1381~1410地號,1446.0,其他,,,1090803,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,91587900,63339,,0.0,0,包含公共設施保留地用地;,RPVPMLPLQHPFFKD77DA,0.0,0.0,0.0,無
永康區,房地(土地+建物),西灣里永華路233巷1~30號,14.18,其他,,,1090807,土地1建物1車位0,五層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0811130,86.65,2,2,1,有,有,3300000,38084,,0.0,0,陽台外推;,RPXPMLPLQHPFFKD97DA,52.4,0.0,11.06,有
永康區,房地(土地+建物),永大路二段831巷1~30號,27.42,其他,,,1080406,土地1建物1車位0,四層,五層,華廈(10層含以下有電梯),住家用,見其他登記事項,1090620,90.0,2,2,2,有,有,4780000,53111,,0.0,0,,RPQPMLPLQHPFFKD27DA,61.36,0.0,5.37,有
永康區,房地(土地+建物),永大路二段831巷1~30號,22.11,其他,,,1080312,土地1建物1車位0,五層,五層,華廈(10層含以下有電梯),住家用,見其他登記事項,1090620,72.03,2,2,2,有,有,3750000,52062,,0.0,0,,RPVOMLPLQHPFFKD67DA,48.86,0.0,4.37,有
永康區,房地(土地+建物),永大路二段831巷1~30號,22.11,其他,,,1080426,土地1建物1車位0,二層,五層,華廈(10層含以下有電梯),住家用,見其他登記事項,1090620,72.03,2,2,2,有,有,3920000,54422,,0.0,0,,RPTOMLOLQHPFFKD37DA,48.86,0.0,4.37,有
