編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPPPMLOLPHPFFCB68CC,10,13.37,見其他登記事項,鋼筋混凝土造,99年10月21日,二十八層,
RPPPMLOLPHPFFCB68CC,10,56.45,見其他登記事項,鋼筋混凝土造,99年10月21日,二十八層,
RPPPMLOLPHPFFCB68CC,10,99.22,見其他登記事項,鋼筋混凝土造,99年10月21日,二十八層,
RPUTMLOLPHPFFCB96CC,11,73.96,住家用,鋼筋混凝土造,98年8月13日,十八層,
RPUTMLOLPHPFFCB96CC,11,25.03,見其他登記事項,鋼筋混凝土造,98年8月13日,二十六層,
RPUTMLOLPHPFFCB96CC,11,3.66,見其他登記事項,鋼筋混凝土造,98年8月13日,二十六層,
RPSTMLOLPHPFFCB76CC,11,47.65,住家用,鋼筋混凝土造,98年8月13日,二十六層,
RPSTMLOLPHPFFCB76CC,11,3.97,見其他登記事項,鋼筋混凝土造,98年8月13日,二十六層,
RPSTMLOLPHPFFCB76CC,11,18.85,見其他登記事項,鋼筋混凝土造,98年8月13日,二十六層,
RPPQMLRLPHPFFCB09CC,27,158.23,住商用,鋼筋混凝土造,82年10月14日,十二層,
RPPQMLRLPHPFFCB09CC,27,15.68,共有部份,鋼筋混凝土造,82年10月14日,十二層,
RPQPMLOLPHPFFAB58CC,23,96.83,住家用,鋼筋混凝土造,86年12月5日,十四層,
RPQPMLOLPHPFFAB58CC,23,32.51,共有部份,鋼筋混凝土造,86年12月5日,十四層,
RPSSMLRLPHPFFCB96CC,27,109.39,住家用,鋼筋混凝土造,82年11月18日,十四層,
RPSSMLRLPHPFFCB96CC,27,33.69,共有部分,鋼筋混凝土造,82年11月18日,十四層,
RPROMLRLPHPFFAB88CC,24,19.17,見其他登記事項,鋼筋混凝土造,85年5月6日,十八層,
RPROMLRLPHPFFAB88CC,24,3.30,見其他登記事項,鋼筋混凝土造,85年5月6日,十八層,
RPROMLRLPHPFFAB88CC,24,3.72,見其他登記事項,鋼筋混凝土造,85年5月6日,十八層,
RPROMLRLPHPFFAB88CC,24,.89,見其他登記事項,鋼筋混凝土造,85年5月6日,十八層,
RPROMLRLPHPFFAB88CC,24,1.40,見其他登記事項,鋼筋混凝土造,85年5月6日,十八層,
RPQOMLRLPHPFFAB78CC,24,85.31,見其他登記事項,鋼筋混凝土造,85年5月6日,十八層,
RPQOMLRLPHPFFAB78CC,24,14.47,見其他登記事項,鋼筋混凝土造,85年5月6日,十八層,
RPQOMLRLPHPFFAB78CC,24,4.69,見其他登記事項,鋼筋混凝土造,85年5月6日,十八層,
RPQOMLRLPHPFFAB78CC,24,4.64,見其他登記事項,鋼筋混凝土造,85年5月6日,十八層,
RPQOMLRLPHPFFAB78CC,24,3.91,見其他登記事項,鋼筋混凝土造,85年5月6日,十八層,
RPXQMLRLPHPFFAB07CC,38,329.38,住家用,鋼筋混凝土造,71年2月26日,五層,
RPUPMLRLPHPFFAB66CC,24,71.30,住家用,鋼筋混凝土造,86年1月4日,十四層,
RPUPMLRLPHPFFAB66CC,24,24.14,見其他登記事項,鋼筋混凝土造,86年1月4日,十四層,
RPPOMLRLPHPFFHB76CC,12,165.47,住家用,鋼筋混凝土造,97年7月11日,四層,
RPRNMLSLPHPFFDB56CC,41,.00,住商用,鋼筋混凝土造,68年3月16日,二層,
RPQQMLSLPHPFFCB76DC,5,308.68,見其他登記事項,鋼筋混凝土造,104年1月21日,四層,
RPXOMLSLPHPFFJB87CC,2,109.73,見其他登記事項,鋼筋混凝土造,107年6月25日,十五層,
RPXOMLSLPHPFFJB87CC,2,13.08,見其他登記事項,鋼筋混凝土造,107年6月25日,十五層,
RPXOMLSLPHPFFJB87CC,2,25.15,見其他登記事項,鋼筋混凝土造,107年6月25日,十五層,
RPTOMLSLPHPFFIB37CC,30,111.20,見其他登記事項,鋼筋混凝土造,79年11月17日,八層,
RPOPMLSLPHPFFJB07CC,2,120.40,見其他登記事項,鋼筋混凝土造,107年6月25日,十五層,
RPOPMLSLPHPFFJB07CC,2,14.35,見其他登記事項,鋼筋混凝土造,107年6月25日,十五層,
RPOPMLSLPHPFFJB07CC,2,27.53,見其他登記事項,鋼筋混凝土造,107年6月25日,十五層,
RPTOMLSLPHPFFCB76CC,6,126.21,住家用,鋼筋混凝土造,103年11月13日,二十一層,
RPTNMLSLPHPFFAB09CC,14,93.35,見其他登記事項,鋼筋混凝土造,95年6月22日,三十二層,
RPTNMLSLPHPFFAB09CC,14,15.09,見其他登記事項,鋼筋混凝土造,95年6月22日,三十二層,
RPTNMLSLPHPFFAB09CC,14,32.87,見其他登記事項,鋼筋混凝土造,95年6月22日,三十二層,
RPROMLSLPHPFFCB56CC,29,230.37,住商用,鋼筋混凝土造,80年7月8日,七層,
RPROMLSLPHPFFCB56CC,29,49.36,見其他登記事項,鋼筋混凝土造,80年7月8日,七層,
RPROMLSLPHPFFCB56CC,29,21.78,共有部份,鋼筋混凝土造,80年7月8日,七層,
RPQOMLSLPHPFFBB98CC,26,312.03,住商用,鋼筋混凝土造,83年12月21日,四層,
RPQOMLSLPHPFFBB98CC,25,12.52,住商用,鋼筋混凝土造,84年2月23日,五層,
RPQOMLTLPHPFFBB09CC,30,107.32,商業用,鋼筋混凝土造,79年12月11日,五層,
RPQOMLTLPHPFFBB09CC,30,86.77,商業用,鋼筋混凝土造,79年12月11日,五層,
RPQOMLTLPHPFFBB09CC,30,107.32,商業用,鋼筋混凝土造,79年12月11日,五層,
RPQOMLTLPHPFFBB09CC,30,87.58,商業用,鋼筋混凝土造,79年12月11日,五層,
RPWQMLTLPHPFFBB27CC,18,35.44,見其他登記事項,鋼筋混凝土造,91年4月29日,四層,
RPQRMLTLPHPFFBB76CC,30,17.63,住家用,鋼筋混凝土造,79年9月21日,五層,
RPRRMLTLPHPFFBB86CC,37,85.99,住家用,鋼筋混凝土造,72年9月22日,五層,
RPWUMLTLPHPFFBB67CC,24,24.79,住家用,鋼筋混凝土造,85年5月24日,十六層,
RPWUMLTLPHPFFBB67CC,24,7.65,共有部份,鋼筋混凝土造,85年5月24日,十六層,
RPWUMLTLPHPFFBB67CC,24,6.59,共有部份,鋼筋混凝土造,85年5月24日,十六層,
RPRWMLTLPHPFFBB37CC,43,80.42,住家用,鋼筋混凝土造,66年10月27日,五層,
RPTNNLTLPHPFFBB76CC,6,99.48,住家用,鋼筋混凝土造,103年10月27日,十五層,
RPTNNLTLPHPFFBB76CC,6,28.36,見其他登記事項,鋼筋混凝土造,103年10月27日,十五層,
RPTNNLTLPHPFFBB76CC,6,20.51,見其他登記事項,鋼筋混凝土造,103年10月27日,十五層,
RPRQNLTLPHPFFBB86CC,5,53.09,見其他登記事項,鋼筋混凝土造,104年12月28日,十四層,
RPRQNLTLPHPFFBB86CC,5,43.32,見其他登記事項,鋼筋混凝土造,104年12月28日,十四層,
RPRQNLTLPHPFFBB86CC,5,2.68,見其他登記事項,鋼筋混凝土造,104年12月28日,十四層,
RPVRNLTLPHPFFBB37CC,23,73.43,住家用,鋼筋混凝土造,86年1月27日,十二層,
RPVRNLTLPHPFFBB37CC,23,10.74,共有部份,鋼筋混凝土造,86年1月27日,十二層,
RPVRNLTLPHPFFBB37CC,23,6.98,共有部份,鋼筋混凝土造,86年1月27日,十二層,
RPWONLTLPHPFFBB17CC,24,43.72,住家用,鋼筋混凝土造,85年5月24日,十六層,
RPWONLTLPHPFFBB17CC,24,8.61,共有部份,鋼筋混凝土造,85年5月24日,十六層,
RPWONLTLPHPFFBB17CC,24,.97,共有部份,鋼筋混凝土造,85年5月24日,十六層,
RPUPMLTLPHPFFCB07CC,9,174.97,住家用,鋼筋混凝土造,100年1月21日,三十五層,
RPPPMLTLPHPFFCB56CC,26,100.06,住家用,鋼筋混凝土造,83年11月22日,十七層,
RPPPMLTLPHPFFCB56CC,26,34.44,共有部分,鋼筋混凝土造,83年11月22日,十七層,
RPQQNLTLPHPFFBB76CC,26,55.44,住家用,鋼筋混凝土造,83年12月14日,十六層,
RPQQNLTLPHPFFBB76CC,26,21.09,共有部份,鋼筋混凝土造,83年12月14日,十七層,
RPUNNLTLPHPFFBB86CC,1,63.43,見其他登記事項,鋼筋混凝土造,108年11月22日,十五層,
RPUNNLTLPHPFFBB86CC,1,30.10,見其他登記事項,鋼筋混凝土造,108年11月22日,十五層,
RPRPMLTLPHPFFAB56CC,34,348.54,住工用,加強磚造,75年7月1日,二層,
RPPQMLTLPHPFFAB09CC,25,100.96,見其他登記事項,鋼筋混凝土造,84年11月21日,七層,
RPPQMLTLPHPFFAB09CC,25,39.45,見其他登記事項,鋼筋混凝土造,84年11月21日,七層,
RPWQMLTLPHPFFAB17CC,14,93.35,見其他登記事項,鋼筋混凝土造,95年6月22日,三十二層,
RPWQMLTLPHPFFAB17CC,14,15.09,見其他登記事項,鋼筋混凝土造,95年6月22日,三十二層,
RPWQMLTLPHPFFAB17CC,14,17.65,見其他登記事項,鋼筋混凝土造,95年6月22日,三十二層,
RPXQMLTLPHPFFAB27CC,28,52.14,住家用,鋼筋混凝土造,81年2月13日,五層,
